date,temperature_f,ice_cream_sales,drowning_deaths
2023-01-01,62.93,69,9
2023-01-02,62.89,23,2
2023-01-03,57.43,0,8
2023-01-04,57.02,65,18
2023-01-05,64.59,95,17
2023-01-06,62.8,105,16
2023-01-07,62.3,95,9
2023-01-08,60.54,83,4
2023-01-09,60.37,73,23
2023-01-10,60.31,17,22
2023-01-11,67.84,121,15
2023-01-12,72.23,105,24
2023-01-13,60.89,50,9
2023-01-14,64.82,77,13
2023-01-15,65.37,106,17
2023-01-16,67.47,124,22
2023-01-17,65.7,30,16
2023-01-18,74.03,152,16
2023-01-19,63.24,92,25
2023-01-20,59.2,28,16
2023-01-21,63.61,47,21
2023-01-22,65.5,97,9
2023-01-23,71.15,151,17
2023-01-24,58.35,18,13
2023-01-25,72.8,133,18
2023-01-26,64.74,98,21
2023-01-27,71.54,136,17
2023-01-28,73.76,206,25
2023-01-29,66.14,113,5
2023-01-30,74.66,209,22
2023-01-31,69.34,106,24
2023-02-01,75.61,152,20
2023-02-02,71.28,130,23
2023-02-03,71.31,141,21
2023-02-04,73.08,166,31
2023-02-05,72.7,114,15
2023-02-06,69.51,118,11
2023-02-07,71.25,132,18
2023-02-08,70.36,107,16
2023-02-09,78.14,157,23
2023-02-10,81.05,198,26
2023-02-11,73.01,135,9
2023-02-12,77.26,185,23
2023-02-13,76.21,199,7
2023-02-14,73.65,109,14
2023-02-15,74.12,147,14
2023-02-16,81.48,222,19
2023-02-17,72.21,186,14
2023-02-18,79.54,147,6
2023-02-19,82.15,262,17
2023-02-20,71.14,146,20
2023-02-21,77.15,171,20
2023-02-22,85.38,251,24
2023-02-23,84.27,251,23
2023-02-24,76.11,181,27
2023-02-25,78.99,199,11
2023-02-26,80.13,210,25
2023-02-27,77.9,229,29
2023-02-28,83.53,237,35
2023-03-01,88.67,255,25
2023-03-02,79.35,214,30
2023-03-03,88.18,286,16
2023-03-04,86.62,248,18
2023-03-05,81.01,257,18
2023-03-06,86.37,226,18
2023-03-07,85.48,229,15
2023-03-08,77.49,204,24
2023-03-09,79.41,203,22
2023-03-10,81.84,223,18
2023-03-11,82.78,208,21
2023-03-12,86.05,266,30
2023-03-13,83.63,275,28
2023-03-14,89.86,340,22
2023-03-15,81.51,177,22
2023-03-16,83.86,228,26
2023-03-17,77.5,188,17
2023-03-18,77.83,188,8
2023-03-19,85.78,248,29
2023-03-20,77.94,161,17
2023-03-21,84.6,254,26
2023-03-22,94.07,324,28
2023-03-23,83.87,267,26
2023-03-24,84.16,248,22
2023-03-25,86.31,238,18
2023-03-26,79.39,179,14
2023-03-27,84.78,281,16
2023-03-28,87.04,263,26
2023-03-29,85.74,211,19
2023-03-30,89.95,246,26
2023-03-31,75.98,181,2
2023-04-01,89.4,294,29
2023-04-02,79.57,159,19
2023-04-03,84.02,222,13
2023-04-04,81.94,260,30
2023-04-05,84.56,212,28
2023-04-06,80.66,187,20
2023-04-07,85.42,224,16
2023-04-08,83.94,263,20
2023-04-09,85.31,198,27
2023-04-10,81.19,245,22
2023-04-11,88.63,272,7
2023-04-12,82.13,207,15
2023-04-13,91.94,342,23
2023-04-14,83.5,260,30
2023-04-15,88.09,257,32
2023-04-16,83.69,264,27
2023-04-17,86.15,241,20
2023-04-18,80.75,190,22
2023-04-19,83.56,279,22
2023-04-20,80.95,212,29
2023-04-21,85.9,259,25
2023-04-22,82.26,232,25
2023-04-23,77.64,191,13
2023-04-24,82.91,183,33
2023-04-25,82.96,239,21
2023-04-26,82.32,237,18
2023-04-27,82.96,233,29
2023-04-28,85.41,227,32
2023-04-29,85.5,257,14
2023-04-30,77.24,183,20
2023-05-01,75.78,180,16
2023-05-02,82.55,214,25
2023-05-03,89.07,305,31
2023-05-04,78.87,182,12
2023-05-05,89.22,300,22
2023-05-06,80.99,175,24
2023-05-07,76.96,182,21
2023-05-08,83.34,229,27
2023-05-09,81.69,243,29
2023-05-10,79.57,227,21
2023-05-11,81.18,217,15
2023-05-12,78.41,179,18
2023-05-13,81.29,195,19
2023-05-14,81.75,228,31
2023-05-15,77.66,220,27
2023-05-16,79.99,164,11
2023-05-17,81.01,220,13
2023-05-18,74.27,139,29
2023-05-19,76.89,196,10
2023-05-20,76.14,134,14
2023-05-21,80.58,201,29
2023-05-22,78.44,210,9
2023-05-23,77.39,181,28
2023-05-24,78.65,214,35
2023-05-25,73.66,158,20
