date,sales,source
01/01/2022,1361.31,US
01/02/2022,1342.26,US
01/03/2022,1365.84,US
04/01/2022,1392.1,EU
01/05/2022,1339.39,US
06/01/2022,1339.39,EU
01/07/2022,1393.79,US
01/08/2022,1369.43,US
01/09/2022,1332.33,US
01/10/2022,1362.69,US
01/11/2022,1332.51,US
01/12/2022,1332.44,US
01/13/2022,1353.67,US
01/14/2022,1289.01,US
01/15/2022,1294.66,US
01/16/2022,1329.54,US
01/17/2022,1316.03,US
01/18/2022,1355.84,US
01/19/2022,1319.17,US
01/20/2022,1304.04,US
01/21/2022,1390.38,US
01/22/2022,1339.64,US
01/23/2022,1348.44,US
01/24/2022,1303.67,US
01/25/2022,1330.08,US
01/26/2022,1349.74,US
01/27/2022,1311.88,US
01/28/2022,1357.68,US
01/29/2022,1328.39,US
01/30/2022,1337.66,US
01/31/2022,1328.36,US
02/01/2022,1255.57,US
02/02/2022,1199.6,EU
03/02/2022,1168.27,EU
04/02/2022,1224.68,EU
05/02/2022,1163.37,EU
06/02/2022,1206.27,EU
02/07/2022,1141.21,US
08/02/2022,1160.15,EU
02/09/2022,1205.91,US
10/02/2022,1222.15,EU
11/02/2022,1205.14,EU
02/12/2022,1196.53,US
02/13/2022,1190.97,US
02/14/2022,1155.64,US
02/15/2022,1178.4,US
02/16/2022,1186.18,US
02/17/2022,1231.71,US
02/18/2022,1210.31,US
02/19/2022,1147.11,US
02/20/2022,1209.72,US
02/21/2022,1188.45,US
02/22/2022,1179.69,US
02/23/2022,1218.35,US
02/24/2022,1230.93,US
02/25/2022,1227.94,US
02/26/2022,1174.82,US
02/27/2022,1190.72,US
02/28/2022,1209.94,US
01/03/2022,1029.27,EU
03/02/2022,985.62,US
03/03/2022,994.43,US
04/03/2022,966.81,EU
05/03/2022,964.11,EU
06/03/2022,1024.38,EU
07/03/2022,1040.69,EU
03/08/2022,997.84,US
09/03/2022,1030.11,EU
10/03/2022,1010.85,EU
03/11/2022,980.65,US
03/12/2022,1010.84,US
03/13/2022,1046.14,US
03/14/2022,998.93,US
03/15/2022,1046.94,US
03/16/2022,921.41,US
03/17/2022,1024.66,US
03/18/2022,1002.61,US
03/19/2022,991.03,US
03/20/2022,1002.75,US
03/21/2022,940.37,US
03/22/2022,993.41,US
03/23/2022,1010.71,US
03/24/2022,1044.34,US
03/25/2022,984.45,US
03/26/2022,975.75,US
03/27/2022,984.95,US
03/28/2022,1027.46,US
03/29/2022,1009.86,US
03/30/2022,984.11,US
03/31/2022,1015.4,US
04/01/2022,802.91,US
02/04/2022,829.06,EU
04/03/2022,778.94,US
04/04/2022,790.17,EU
05/04/2022,788.24,EU
04/06/2022,756.09,US
04/07/2022,808.88,US
04/08/2022,807.83,US
09/04/2022,800.15,EU
04/10/2022,792.96,US
04/11/2022,757.54,US
12/04/2022,787.38,EU
04/13/2022,789.72,US
04/14/2022,775.93,US
04/15/2022,795.16,US
04/16/2022,812.12,US
04/17/2022,856.59,US
04/18/2022,805.24,US
04/19/2022,807.73,US
04/20/2022,797.77,US
04/21/2022,742.44,US
04/22/2022,799.2,US
04/23/2022,801.81,US
04/24/2022,873.9,US
04/25/2022,794.23,US
04/26/2022,809.05,US
04/27/2022,798.96,US
04/28/2022,764.94,US
04/29/2022,834.28,US
04/30/2022,822.56,US
05/01/2022,677.32,US
05/02/2022,626.31,US
05/03/2022,695.67,US
05/04/2022,611.53,US
05/05/2022,671.2,US
06/05/2022,719.3,EU
07/05/2022,623.87,EU
08/05/2022,636.6,EU
09/05/2022,656.58,EU
10/05/2022,638.49,EU
11/05/2022,607.07,EU
05/12/2022,655.65,US
05/13/2022,621.72,US
05/14/2022,667.8,US
05/15/2022,626.01,US
05/16/2022,700.09,US
05/17/2022,630.09,US
05/18/2022,643.93,US
05/19/2022,678.0,US
05/20/2022,616.66,US
05/21/2022,660.41,US
05/22/2022,692.8,US
05/23/2022,605.37,US
05/24/2022,659.13,US
05/25/2022,661.39,US
05/26/2022,677.04,US
05/27/2022,616.48,US
05/28/2022,613.98,US
05/29/2022,669.25,US
05/30/2022,662.5,US
05/31/2022,661.1,US
01/06/2022,610.39,EU
02/06/2022,579.6,EU
06/03/2022,606.97,US
06/04/2022,608.79,US
06/05/2022,578.57,US
06/06/2022,655.97,EU
06/07/2022,614.21,US
06/08/2022,564.26,US
06/09/2022,619.7,US
06/10/2022,570.76,US
06/11/2022,623.61,US
06/12/2022,634.76,US
06/13/2022,575.38,US
06/14/2022,628.9,US
06/15/2022,612.38,US
06/16/2022,624.66,US
06/17/2022,656.9,US
06/18/2022,592.64,US
06/19/2022,577.39,US
06/20/2022,573.31,US
06/21/2022,575.53,US
06/22/2022,597.69,US
06/23/2022,610.23,US
06/24/2022,608.3,US
06/25/2022,624.82,US
06/26/2022,600.39,US
06/27/2022,643.61,US
06/28/2022,592.06,US
06/29/2022,681.61,US
06/30/2022,618.77,US
07/01/2022,627.88,US
07/02/2022,621.46,US
03/07/2022,668.06,EU
07/04/2022,646.89,US
07/05/2022,675.01,US
07/06/2022,667.79,US
07/07/2022,651.4,EU
08/07/2022,628.19,EU
09/07/2022,608.14,EU
07/10/2022,640.19,US
11/07/2022,679.28,EU
07/12/2022,660.01,US
07/13/2022,616.22,US
07/14/2022,658.79,US
07/15/2022,665.15,US
07/16/2022,627.07,US
07/17/2022,658.2,US
07/18/2022,655.34,US
07/19/2022,619.3,US
07/20/2022,664.32,US
07/21/2022,670.41,US
07/22/2022,686.08,US
07/23/2022,685.2,US
07/24/2022,612.26,US
07/25/2022,625.46,US
07/26/2022,669.04,US
07/27/2022,669.0,US
07/28/2022,669.04,US
07/29/2022,769.17,US
07/30/2022,670.72,US
07/31/2022,687.66,US
08/01/2022,828.62,US
08/02/2022,819.54,US
03/08/2022,790.54,EU
04/08/2022,822.77,EU
08/05/2022,776.82,US
08/06/2022,792.9,US
08/07/2022,785.44,US
08/08/2022,802.46,EU
08/09/2022,869.44,US
10/08/2022,743.98,EU
11/08/2022,820.59,EU
12/08/2022,751.62,EU
08/13/2022,785.84,US
08/14/2022,832.67,US
08/15/2022,801.93,US
08/16/2022,767.67,US
08/17/2022,778.54,US
08/18/2022,820.39,US
08/19/2022,778.09,US
08/20/2022,806.49,US
08/21/2022,801.37,US
08/22/2022,780.45,US
08/23/2022,864.32,US
08/24/2022,819.02,US
08/25/2022,739.25,US
08/26/2022,805.59,US
08/27/2022,780.15,US
08/28/2022,825.57,US
08/29/2022,776.22,US
08/30/2022,796.56,US
08/31/2022,815.15,US
09/01/2022,1025.97,US
09/02/2022,963.99,US
