age,income,years_experience,region,account_type,marketing_channel,subscription_months,support_tickets_last_year,n_logins_last_30d,last_login_days_ago,device_type,education_level,target
21,15835.4,1,south,basic,organic,21,10,63,96,desktop,masters,1
44,96595.43,19,east,premium,paid,14,3,84,106,desktop,bachelors,0
48,99671.49,22,west,premium,paid,32,9,18,348,desktop,masters,1
56,36878.35,24,east,basic,paid,40,18,25,114,mobile,bachelors,1
48,67021.29,20,west,premium,referral,16,4,75,34,mobile,high_school,0
27,43033.78,6,east,basic,organic,47,20,75,198,desktop,phd,1
37,56678.21,9,west,basic,social,39,3,2,353,mobile,masters,1
41,24628.12,15,west,premium,referral,10,13,22,85,desktop,masters,1
70,71217.62,35,south,basic,organic,57,13,22,233,tablet,high_school,0
46,18311.58,13,south,enterprise,paid,3,4,0,123,mobile,bachelors,0
51,16350.96,23,west,basic,social,40,9,66,140,desktop,bachelors,1
56,45562.62,21,east,enterprise,paid,27,3,5,165,mobile,phd,1
37,43185.24,7,east,premium,paid,40,7,84,52,mobile,bachelors,0
69,57721.27,36,south,enterprise,referral,47,20,59,141,mobile,masters,0
53,33199.68,21,north,premium,organic,42,1,76,99,desktop,bachelors,1
62,151966.44,27,south,premium,referral,40,18,50,299,desktop,high_school,0
57,53979.68,26,west,premium,organic,51,14,97,83,mobile,bachelors,1
50,56372.07,21,south,premium,referral,43,15,27,310,mobile,high_school,0
19,55179.14,1,south,basic,paid,49,5,56,6,mobile,masters,1
48,89477.81,24,north,basic,organic,25,19,0,147,desktop,bachelors,0
24,69259.14,5,south,basic,social,13,5,84,98,mobile,masters,0
49,63908.7,15,south,premium,paid,15,10,57,163,desktop,bachelors,0
55,76236.11,21,east,basic,paid,37,0,17,282,mobile,phd,1
46,16403.19,17,north,premium,referral,32,18,82,350,desktop,masters,0
34,16779.13,10,north,basic,paid,5,14,99,266,mobile,masters,1
21,46834.0,0,north,basic,organic,13,3,6,184,mobile,high_school,0
53,43538.27,19,north,premium,referral,59,13,85,187,desktop,bachelors,0
55,69416.92,20,west,enterprise,social,44,3,74,363,desktop,high_school,0
43,49613.1,12,west,basic,organic,46,9,35,362,tablet,high_school,0
55,69502.57,29,west,enterprise,social,12,10,64,279,tablet,bachelors,1
59,23217.06,25,west,basic,referral,4,19,79,60,mobile,masters,1
45,48705.79,22,north,basic,organic,18,6,48,96,desktop,phd,1
20,21924.63,0,west,basic,referral,52,0,67,99,desktop,high_school,0
64,61828.19,27,south,basic,paid,31,9,4,83,desktop,bachelors,0
42,15883.39,15,west,basic,referral,48,19,93,354,mobile,bachelors,1
53,60414.6,27,east,basic,referral,30,16,93,58,desktop,high_school,1
66,20304.55,32,south,premium,organic,30,1,21,312,tablet,high_school,0
37,38944.13,7,south,premium,organic,37,1,48,295,mobile,bachelors,1
50,83864.41,17,north,basic,paid,58,15,24,193,mobile,high_school,0
19,56186.29,5,south,enterprise,paid,27,15,40,112,mobile,bachelors,0
64,18262.48,25,south,premium,social,36,11,27,97,mobile,bachelors,1
21,32746.9,5,west,basic,social,56,1,87,247,mobile,masters,1
46,19913.89,23,north,basic,social,23,5,70,245,mobile,masters,1
36,17732.33,8,east,basic,paid,51,17,85,197,mobile,high_school,0
19,52606.65,1,east,premium,organic,33,2,80,208,desktop,masters,1
42,68609.0,16,north,basic,referral,53,4,73,302,mobile,masters,1
67,63854.58,34,south,basic,organic,29,9,16,276,desktop,bachelors,0
26,70373.78,8,south,basic,organic,38,15,83,274,desktop,high_school,0
33,48671.72,4,south,basic,organic,20,17,79,102,desktop,bachelors,1
28,41604.59,4,north,basic,social,39,12,12,23,mobile,high_school,0
24,25749.19,8,north,premium,referral,20,10,8,167,tablet,high_school,0
30,37644.88,5,south,enterprise,organic,37,8,76,123,mobile,high_school,0
48,22185.43,16,west,basic,social,48,0,39,122,mobile,masters,1
59,29522.29,27,west,basic,referral,27,5,33,190,mobile,bachelors,1
54,51707.4,20,north,basic,referral,26,4,40,338,tablet,masters,1
58,45675.46,22,east,basic,organic,20,1,87,294,mobile,masters,1
55,308302.53,27,west,premium,paid,44,15,36,247,mobile,bachelors,1
38,21862.38,9,north,enterprise,paid,36,7,37,261,desktop,bachelors,1
65,45476.04,34,north,premium,referral,31,10,40,151,desktop,high_school,0
27,20863.59,2,north,basic,paid,2,4,5,201,desktop,high_school,0
55,38844.76,20,north,enterprise,organic,7,12,3,158,mobile,bachelors,0
23,39804.85,6,west,premium,paid,1,2,41,295,desktop,bachelors,1
58,81383.52,22,west,basic,paid,52,14,1,362,mobile,bachelors,1
22,37428.96,1,east,enterprise,social,52,15,76,159,mobile,masters,0
29,43704.58,5,south,premium,organic,5,6,42,263,mobile,bachelors,0
38,37866.01,13,west,premium,referral,3,4,50,20,mobile,bachelors,1
54,21149.45,23,north,basic,social,47,16,33,147,mobile,bachelors,1
20,33148.03,0,north,basic,referral,32,4,77,318,desktop,high_school,0
31,38981.33,5,north,premium,paid,19,3,43,251,mobile,high_school,0
35,51241.01,8,west,basic,referral,37,7,3,192,mobile,bachelors,1
56,68553.41,19,east,enterprise,social,15,20,49,78,mobile,high_school,0
68,42584.35,34,east,basic,referral,12,9,17,295,mobile,bachelors,0
50,42137.54,20,east,basic,organic,23,5,60,355,desktop,masters,1
44,17457.28,12,north,premium,organic,54,10,56,143,mobile,high_school,0
35,67767.68,9,south,premium,organic,47,7,47,296,desktop,high_school,0
61,32288.33,29,west,basic,organic,12,13,38,215,mobile,high_school,0
23,76747.34,1,west,premium,referral,34,9,60,145,mobile,high_school,0
24,107997.57,2,east,premium,organic,54,12,68,121,mobile,bachelors,1
28,43793.95,9,north,premium,referral,58,9,88,184,mobile,bachelors,1
32,26529.52,11,west,basic,referral,46,10,97,149,desktop,masters,1
42,48532.11,17,south,premium,paid,8,9,8,225,mobile,bachelors,0
68,60428.81,31,south,premium,organic,15,8,66,53,tablet,bachelors,0
52,40566.1,22,north,premium,paid,14,20,8,174,desktop,masters,1
38,34946.62,17,north,premium,organic,10,5,42,271,mobile,high_school,0
29,68742.25,11,east,basic,social,11,16,74,309,tablet,high_school,0
