customer_id,region_id,signup_date
1,17,2022-05-19
2,31,2022-12-24
3,30,2022-01-09
4,24,2021-11-15
5,22,2018-10-31
6,47,2021-09-03
7,26,2019-05-11
8,40,2019-06-23
9,48,2023-03-02
10,17,2021-09-08
11,39,2023-12-16
12,41,2020-09-22
13,11,2020-02-23
14,12,2023-12-20
15,9,2021-09-25
16,31,2023-03-06
17,39,2018-04-08
18,38,2021-02-25
19,20,2022-11-25
20,36,2022-11-06
21,2,2022-04-15
22,33,2018-12-27
23,24,2021-04-12
24,42,2018-08-11
25,49,2022-10-23
26,28,2021-10-13
27,32,2019-03-01
28,47,2022-05-11
29,18,2022-04-25
30,8,2018-04-27
31,26,2018-07-15
32,18,2019-03-17
33,32,2018-06-03
34,40,2021-03-22
35,26,2023-04-12
36,16,2018-05-18
37,29,2021-09-07
38,23,2020-07-17
39,10,2023-01-06
40,39,2020-11-21
41,17,2022-01-04
42,27,2023-07-12
43,46,2018-10-26
44,10,2019-11-23
45,22,2019-08-14
46,9,2019-01-05
47,22,2021-11-19
48,16,2018-01-17
49,46,2020-04-25
50,16,2018-09-24
51,31,2021-09-09
52,7,2022-07-03
53,23,2020-10-19
54,42,2020-09-01
55,34,2020-09-11
56,15,2019-03-12
57,49,2020-04-02
58,41,2023-08-06
59,21,2018-04-01
60,49,2022-09-21
61,10,2018-12-27
62,17,2018-09-08
63,47,2019-09-18
64,49,2019-08-13
65,42,2019-11-24
66,10,2023-02-04
67,11,2023-06-05
68,33,2022-02-25
69,3,2018-11-17
70,50,2023-09-02
71,48,2023-01-30
72,41,2018-06-16
73,49,2020-04-28
74,12,2022-08-26
75,45,2018-07-15
76,13,2018-06-17
77,7,2021-08-20
78,14,2020-01-08
79,39,2020-08-25
80,48,2022-07-02
81,31,2021-04-08
82,13,2022-04-07
83,31,2018-10-04
84,26,2018-01-05
85,26,2019-07-06
86,18,2019-03-19
87,7,2019-12-11
88,19,2022-09-02
89,45,2018-11-29
90,21,2018-10-04
91,2,2019-03-16
92,18,2019-12-16
93,24,2019-03-09
94,30,2019-02-07
95,33,2021-06-23
96,22,2018-09-02
97,8,2018-12-04
98,23,2023-01-07
99,1,2018-02-09
100,26,2018-05-15
101,23,2018-06-02
102,18,2021-03-19
103,34,2022-03-02
104,38,2022-02-25
105,14,2022-02-20
106,26,2018-05-07
107,26,2020-01-25
108,26,2021-10-19
109,21,2022-02-02
110,11,2020-01-02
111,9,2023-01-29
112,2,2022-12-31
113,3,2022-08-04
114,41,2022-10-13
115,4,2023-11-06
116,43,2022-10-05
117,45,2021-07-06
118,13,2020-05-23
119,23,2020-03-03
120,19,2022-12-07
121,20,2019-10-11
122,18,2021-10-11
123,18,2021-01-05
124,35,2020-04-09
125,21,2020-09-14
126,10,2018-06-26
127,19,2022-04-03
128,49,2018-05-27
129,50,2018-06-11
130,4,2019-07-05
131,29,2021-03-09
132,49,2019-10-19
133,10,2023-04-12
134,4,2023-07-25
135,11,2020-05-11
136,16,2023-12-30
137,47,2018-07-14
138,13,2018-11-11
139,17,2020-01-31
140,13,2023-08-27
141,20,2021-01-07
142,50,2022-03-28
143,5,2021-11-30
144,23,2020-12-27
145,31,2023-08-03
146,6,2023-09-22
147,3,2020-09-08
148,50,2022-04-12
149,14,2021-09-28
150,13,2021-07-24
151,18,2018-08-11
152,4,2019-04-04
153,8,2023-12-09
154,2,2019-06-20
155,27,2021-11-28
156,24,2023-06-20
157,14,2021-08-12
158,46,2019-04-16
159,16,2023-02-26
160,1,2018-03-12
161,5,2022-05-03
162,37,2019-08-07
163,27,2021-11-03
164,14,2020-11-18
165,13,2021-05-31
166,11,2020-04-16
167,22,2021-03-04
168,36,2023-08-12
169,32,2022-12-15
170,38,2020-07-05
171,3,2023-08-24
172,28,2023-05-02
173,39,2021-10-05
174,11,2021-07-26
175,30,2018-03-20
176,1,2021-02-21
177,46,2019-04-11
178,37,2018-12-17
179,32,2023-02-23
180,30,2019-08-17
181,34,2021-09-09
182,22,2023-03-15
183,49,2021-08-02
184,11,2022-09-05
185,41,2022-08-25
186,39,2020-09-06
187,42,2023-07-12
188,4,2023-06-14
189,23,2020-01-10
190,33,2022-11-30
191,31,2019-02-05
192,35,2018-09-03
193,32,2021-03-06
194,12,2021-08-19
195,42,2021-07-01
196,25,2022-10-16
197,49,2020-05-06
198,27,2022-11-06
199,27,2023-05-30
200,30,2018-07-20
201,44,2020-09-10
202,46,2019-05-07
203,30,2021-12-08
204,28,2020-06-23
205,3,2019-09-09
206,4,2019-07-06
207,37,2020-02-16
208,18,2018-08-27
209,22,2018-08-18
210,32,2021-10-09
211,12,2023-08-27
212,17,2021-01-16
213,3,2023-07-24
214,39,2018-12-06
215,26,2023-11-02
216,10,2021-07-08
217,30,2022-06-17
218,8,2018-05-16
219,40,2021-08-15
220,12,2020-04-18
221,14,2023-05-22
222,44,2022-10-02
223,38,2023-03-08
224,35,2023-05-04
225,31,2022-04-28
226,27,2019-06-22
227,10,2019-09-12
228,16,2023-02-26
229,49,2021-08-10
230,46,2023-05-07
231,37,2022-10-08
232,45,2021-08-22
233,41,2018-11-30
234,20,2023-11-21
235,36,2019-06-17
236,38,2019-06-24
237,7,2018-11-16
238,46,2018-06-01
239,25,2020-04-01
240,16,2023-01-22
241,24,2023-03-12
242,17,2020-12-11
243,17,2019-11-21
244,28,2020-01-29
245,50,2023-07-06
246,21,2018-05-01
247,11,2018-05-06
248,39,2018-05-22
249,15,2023-04-29
250,27,2018-07-18
251,13,2023-08-24
252,11,2019-02-07
253,13,2021-04-15
254,18,2023-10-27
255,48,2018-09-11
256,34,2019-09-09
257,35,2022-05-13
258,3,2022-11-25
259,1,2023-06-11
260,18,2018-02-12
261,45,2022-08-29
262,1,2019-12-06
263,39,2021-05-06
264,42,2023-06-08
265,14,2023-05-30
266,6,2019-02-10
267,8,2020-10-27
268,4,2019-09-15
269,43,2021-09-08
270,40,2022-12-16
271,34,2019-11-28
272,5,2018-09-23
273,48,2018-05-21
274,35,2018-04-27
275,42,2020-03-13
276,19,2023-10-17
277,10,2019-07-06
278,42,2020-06-05
279,3,2022-01-18
280,10,2021-12-11
281,8,2019-08-15
282,5,2018-10-06
283,28,2018-12-09
284,12,2019-04-28
285,49,2018-07-08
286,47,2020-10-04
287,9,2021-11-15
288,42,2022-01-18
289,2,2023-06-14
290,15,2019-10-05
291,33,2021-12-04
292,11,2023-04-22
293,4,2018-03-04
294,8,2022-09-07
295,33,2018-07-13
296,12,2021-04-22
297,13,2022-12-25
298,11,2020-10-02
299,45,2021-05-10
300,45,2021-09-18
301,41,2021-06-19
302,1,2022-05-22
303,13,2023-02-25
304,45,2018-10-23
305,28,2020-06-29
306,3,2023-02-11
307,13,2020-04-15
308,42,2020-12-07
309,44,2022-06-14
310,22,2023-08-11
311,8,2019-07-06
312,4,2023-09-24
313,12,2022-04-04
314,40,2018-03-09
315,42,2023-03-02
316,13,2020-04-22
317,49,2019-09-11
318,44,2021-02-26
319,50,2021-06-15
320,38,2021-03-27
321,29,2018-05-01
322,50,2022-12-07
323,35,2020-01-19
324,42,2018-11-06
325,21,2021-05-24
326,13,2021-09-25
327,29,2018-08-15
328,21,2023-08-27
329,18,2021-08-08
330,35,2023-12-23
331,31,2022-01-08
332,16,2018-01-23
333,13,2019-04-02
334,28,2023-10-31
335,17,2021-05-10
336,12,2018-09-25
337,12,2018-06-12
338,34,2021-03-21
339,21,2021-07-25
340,18,2019-06-24
341,6,2019-03-03
342,3,2021-08-20
343,35,2020-08-11
344,49,2018-03-23
345,17,2018-05-07
346,43,2019-06-06
347,31,2021-05-20
348,16,2019-10-21
349,29,2018-02-02
350,7,2023-06-29
351,17,2022-02-27
352,37,2021-07-02
353,43,2019-06-19
354,12,2022-03-31
355,46,2023-09-04
356,31,2022-01-20
357,12,2019-10-10
358,39,2020-05-09
359,45,2023-07-28
360,14,2018-01-31
361,6,2019-04-30
362,15,2018-08-23
363,38,2021-11-05
364,4,2020-10-01
365,15,2018-10-19
366,16,2023-08-24
367,1,2021-04-23
368,30,2019-06-29
369,41,2023-09-03
370,8,2022-03-10
371,45,2018-10-12
372,48,2022-12-16
373,44,2018-05-10
374,37,2023-06-09
375,23,2020-05-11
376,11,2019-10-05
377,46,2018-04-28
378,27,2023-08-02
379,23,2021-05-10
380,20,2021-08-24
381,11,2023-02-06
382,20,2021-01-18
383,40,2019-09-27
384,28,2022-09-01
385,20,2021-03-07
386,6,2019-06-07
387,21,2023-01-24
388,11,2022-11-15
389,20,2019-06-26
390,8,2021-11-24
391,48,2023-07-10
392,9,2022-10-17
393,7,2019-03-12
394,33,2023-02-18
395,18,2018-05-04
396,50,2021-09-13
397,21,2021-01-24
398,33,2018-03-22
399,42,2022-05-09
400,50,2019-10-15
401,41,2023-02-10
402,29,2023-04-07
403,41,2021-07-17
404,15,2021-10-05
405,44,2018-04-25
406,44,2023-05-04
407,20,2022-02-01
408,4,2020-04-22
409,35,2018-07-07
410,6,2021-01-10
411,1,2023-05-27
412,48,2023-03-05
413,29,2018-08-05
414,33,2022-07-27
415,45,2018-06-29
416,47,2020-04-06
417,48,2020-09-06
418,7,2018-02-19
419,17,2018-10-28
420,39,2023-04-12
421,2,2021-10-10
422,12,2022-09-19
423,26,2021-06-05
424,18,2020-09-10
425,9,2018-02-09
426,45,2021-04-11
427,23,2022-08-15
428,21,2019-03-24
429,33,2020-12-11
430,34,2020-06-21
431,25,2023-03-23
432,45,2018-12-24
433,15,2018-08-19
434,44,2019-04-07
435,44,2018-12-09
436,1,2023-01-28
437,38,2019-07-25
438,8,2020-03-04
439,25,2019-07-18
440,46,2022-11-20
441,10,2021-12-25
442,29,2020-11-03
443,39,2022-10-16
444,25,2018-06-05
445,4,2022-01-25
446,4,2020-03-02
447,26,2020-04-10
448,2,2018-12-13
449,1,2018-08-01
450,48,2022-02-27
451,27,2023-02-05
452,24,2023-06-19
453,6,2019-06-18
454,40,2022-07-30
455,26,2018-09-01
456,12,2022-09-01
457,38,2021-05-24
458,12,2023-03-03
459,26,2018-05-29
460,29,2022-08-28
461,14,2020-10-19
462,44,2021-05-30
463,36,2021-03-26
464,15,2022-04-14
465,8,2021-08-04
466,17,2020-06-29
467,24,2020-08-11
468,28,2018-06-05
469,21,2022-05-06
470,3,2022-03-26
471,34,2021-05-26
472,19,2022-04-30
473,17,2019-08-13
474,28,2019-05-05
475,42,2023-07-19
476,1,2023-09-21
477,49,2023-02-11
478,32,2018-04-26
479,28,2021-04-16
480,3,2022-05-31
481,36,2018-03-23
482,36,2023-10-22
483,29,2022-09-20
484,41,2019-11-09
485,42,2021-01-14
486,42,2023-06-22
487,17,2023-02-13
488,34,2022-12-15
489,3,2023-11-25
490,29,2022-06-18
491,8,2023-08-11
492,16,2023-09-20
493,34,2018-02-12
494,22,2021-12-03
495,44,2020-01-02
496,5,2020-12-19
497,49,2019-01-03
498,36,2022-01-19
499,22,2023-01-03
500,2,2020-06-20
501,3,2022-03-10
502,21,2019-12-13
503,29,2022-06-30
504,26,2018-06-30
505,15,2023-04-12
506,33,2020-04-07
507,31,2021-01-10
508,18,2022-10-25
509,17,2018-03-07
510,23,2023-09-02
511,38,2021-09-07
512,30,2023-11-06
513,7,2021-04-22
514,47,2019-03-29
515,11,2021-06-29
516,34,2021-06-05
517,1,2023-07-10
518,13,2021-06-14
519,29,2020-06-08
520,43,2019-01-21
521,29,2019-12-15
522,3,2021-06-27
523,48,2020-03-19
524,14,2020-03-05
525,19,2018-02-01
526,6,2023-08-26
527,35,2023-01-07
528,23,2019-07-13
529,11,2018-10-28
530,32,2023-01-03
531,10,2023-01-07
532,27,2023-05-19
533,34,2021-04-13
534,41,2022-05-31
535,35,2022-05-17
536,29,2019-04-16
537,2,2021-02-21
538,12,2019-07-25
539,29,2022-07-09
540,27,2023-10-28
541,27,2018-06-17
542,37,2018-06-16
543,46,2019-08-02
544,26,2018-09-14
545,7,2018-01-20
546,23,2023-11-14
547,13,2021-06-29
548,27,2022-08-29
549,30,2021-05-24
550,28,2022-06-23
551,30,2022-02-11
552,16,2018-12-17
553,9,2018-11-26
554,43,2020-12-06
555,21,2020-03-23
556,11,2023-01-16
557,50,2019-11-02
558,2,2019-12-22
559,18,2021-03-04
560,38,2019-02-27
561,21,2023-02-24
562,43,2018-01-24
563,18,2023-01-31
564,33,2021-09-25
565,22,2023-04-29
566,24,2019-10-06
567,25,2023-05-26
568,49,2023-03-07
569,38,2020-09-27
570,19,2019-09-13
571,21,2019-03-08
572,21,2018-11-28
573,37,2021-07-01
574,30,2023-10-05
575,27,2021-05-23
576,22,2023-10-14
577,20,2022-07-14
578,28,2022-02-09
579,42,2022-05-07
580,49,2023-07-27
581,4,2023-02-23
582,12,2018-12-21
583,35,2021-07-04
584,8,2020-10-05
585,31,2023-04-10
586,22,2019-03-24
587,10,2022-12-01
588,26,2020-11-14
589,26,2023-08-04
590,36,2022-09-29
591,42,2020-01-26
592,48,2023-01-25
593,22,2019-02-15
594,35,2018-01-10
595,40,2021-01-14
596,50,2020-05-03
597,33,2018-10-03
598,13,2023-12-18
599,18,2018-03-27
600,11,2021-07-14
601,10,2019-07-26
602,16,2019-10-11
603,25,2019-04-08
604,40,2020-05-01
605,15,2022-01-01
606,10,2019-12-08
607,7,2022-04-30
608,10,2020-09-07
609,22,2022-09-16
610,21,2020-08-31
611,20,2020-03-11
612,16,2021-01-15
613,23,2022-02-12
614,33,2020-10-14
615,3,2023-06-08
616,45,2021-02-04
617,16,2019-10-11
618,7,2018-03-03
619,9,2020-05-09
620,28,2018-04-30
621,27,2018-03-20
622,5,2020-03-23
623,25,2019-09-28
624,12,2023-04-23
625,46,2022-05-19
626,16,2022-09-28
627,50,2021-04-09
628,29,2018-08-30
629,49,2023-02-07
630,28,2020-12-19
631,7,2020-07-28
632,33,2021-08-17
633,24,2018-12-25
634,41,2020-11-19
635,20,2021-08-19
636,10,2022-03-08
637,6,2020-12-31
638,38,2023-12-25
639,12,2023-12-09
640,34,2018-07-31
641,7,2018-07-01
642,4,2021-02-03
643,36,2022-12-18
644,18,2021-01-27
645,29,2019-04-21
646,2,2021-05-16
647,10,2023-08-28
648,5,2019-01-01
649,14,2020-09-02
650,15,2021-10-30
651,19,2020-05-11
652,13,2018-04-08
653,23,2022-01-06
654,46,2022-06-12
655,5,2021-12-05
656,45,2021-12-23
657,21,2021-12-09
658,29,2019-12-25
659,34,2018-02-06
660,37,2023-12-06
661,48,2019-03-24
662,50,2022-12-21
663,5,2021-03-30
664,21,2021-03-27
665,27,2018-02-15
666,27,2023-12-10
667,50,2021-03-03
668,33,2022-12-23
669,21,2022-08-31
670,47,2018-10-30
671,37,2023-09-07
672,40,2021-07-18
673,32,2019-02-10
674,4,2021-06-26
675,49,2021-09-11
676,36,2021-11-30
677,8,2019-12-06
678,13,2023-08-23
679,18,2019-06-03
680,13,2020-12-13
681,32,2023-01-11
682,28,2018-06-19
683,11,2020-06-02
684,35,2020-11-15
685,15,2022-08-20
686,8,2022-09-22
687,48,2022-10-12
688,16,2020-02-25
689,12,2020-12-12
690,36,2018-03-01
691,39,2022-12-07
692,8,2019-10-27
693,3,2020-10-20
694,43,2022-02-02
695,26,2022-08-28
696,23,2018-07-08
697,22,2022-08-08
698,30,2020-04-03
699,34,2020-07-03
700,5,2018-10-19
701,14,2022-04-19
702,48,2020-11-08
703,9,2018-08-16
704,46,2018-11-06
705,21,2022-04-30
706,10,2018-08-27
707,30,2021-02-15
708,34,2022-03-09
709,18,2023-06-21
710,40,2018-12-13
711,4,2019-10-10
712,7,2018-12-06
713,32,2023-04-11
714,29,2021-07-21
715,35,2023-11-24
716,43,2018-04-06
717,47,2022-03-26
718,26,2018-03-14
719,26,2018-08-27
720,47,2020-08-02
721,49,2020-03-14
722,3,2020-03-10
723,26,2018-05-29
724,46,2021-04-07
725,3,2020-01-17
726,49,2023-12-16
727,38,2022-09-26
728,8,2020-08-10
729,33,2022-08-04
730,22,2021-06-15
731,17,2020-12-20
732,32,2023-07-07
733,37,2021-07-10
734,45,2020-11-24
735,21,2021-05-25
736,8,2022-09-07
737,44,2022-06-12
738,17,2021-04-16
739,38,2019-01-23
740,40,2021-10-27
741,3,2020-08-01
742,21,2023-08-05
743,5,2023-06-13
744,31,2018-01-02
745,40,2023-12-29
746,29,2023-05-28
747,17,2023-06-10
748,49,2020-12-25
749,5,2019-08-16
750,8,2021-08-21
751,19,2023-04-18
752,48,2020-09-12
753,45,2023-11-28
754,29,2019-07-26
755,48,2023-02-12
756,46,2018-05-25
757,30,2023-01-13
758,6,2023-09-01
759,45,2022-03-19
760,33,2021-09-28
761,8,2020-06-20
762,43,2023-03-28
763,20,2018-10-05
764,40,2019-09-29
765,14,2018-10-15
766,1,2019-09-01
767,23,2021-02-20
768,23,2020-01-06
769,44,2020-07-09
770,6,2019-05-21
771,46,2020-02-12
772,8,2020-12-26
773,47,2019-04-14
774,36,2023-08-13
775,18,2023-05-19
776,48,2023-04-03
777,18,2018-01-04
778,32,2020-12-20
779,1,2022-10-08
780,6,2020-02-03
781,18,2019-05-23
782,13,2021-09-01
