region_id,region_name,country
1,Northwest,USA
2,Northeast,USA
3,Southwest,USA
4,Southeast,USA
5,Midwest,USA
6,Plains,USA
7,Mountain,USA
8,Pacific,USA
9,Atlantic,USA
10,Gulf,USA
11,Great_Lakes,USA
12,New_England,USA
13,Mid_Atlantic,USA
14,South_Central,USA
15,North_Central,USA
16,West_Coast,USA
17,East_Coast,USA
18,Interior,USA
19,Border,USA
20,Capital,USA
21,Lakefront,USA
22,Coastal,USA
23,Highland,USA
24,Lowland,USA
25,Peninsula,USA
26,Delta,USA
27,Valley,USA
28,Canyon,USA
29,Prairie,USA
30,Tundra,USA
31,Cascade,USA
32,Appalachian,USA
33,Ozark,USA
34,Sierra,USA
35,Rockies,USA
36,Columbia,USA
37,Mississippi,USA
38,Ohio,USA
39,Hudson,USA
40,Tennessee,USA
41,Chesapeake,Canada
42,Puget,Canada
43,Mojave,Canada
44,Sonoran,Canada
45,Everglades,Canada
46,Piedmont,Canada
47,Panhandle,Canada
48,Heartland,Canada
49,Frontier,Canada
50,Metro,Canada
