transaction_id,customer_id,amount,date,quarter
1,1371,1359.73,2024-10-20,Q4
2,3351,566.42,2024-08-05,Q3
3,6780,893.6,2024-01-14,Q1
4,4155,944.08,2024-07-29,Q3
5,6620,466.77,2024-09-11,Q3
6,2696,664.86,2024-11-01,Q4
7,6944,630.51,2024-01-13,Q1
8,1441,743.96,2024-07-31,Q3
9,3109,314.89,2024-12-30,Q4
10,2982,811.7,2024-01-04,Q1
11,3694,1368.43,2024-06-02,Q2
12,6500,221.77,2024-12-29,Q4
13,5066,1161.13,2024-09-20,Q3
14,1646,745.73,2024-09-05,Q3
15,4613,3031.23,2024-05-01,Q2
16,6340,722.7,2024-10-25,Q4
17,801,895.03,2024-03-25,Q1
18,168308,1333.78,2024-11-25,Q4
19,3336,481.72,2024-12-11,Q4
20,199445,630.64,2024-06-05,Q2
21,110838,4068.83,2024-11-01,Q4
22,1556,767.97,2024-04-07,Q2
23,1058,523.9,2024-07-10,Q3
24,177463,362.22,2024-12-09,Q4
25,3117,250.48,2024-09-10,Q3
26,109234,969.92,2024-12-09,Q4
27,6138,402.51,2024-01-23,Q1
28,163789,1132.8,2024-07-20,Q3
29,554,412.96,2024-10-08,Q4
30,148631,798.25,2024-11-16,Q4
31,809,2758.54,2024-02-05,Q1
32,7053,1305.42,2024-06-24,Q2
33,6258,555.84,2024-08-03,Q3
34,2760,532.21,2024-09-17,Q3
35,160722,220.99,2024-07-21,Q3
36,2802,1121.97,2024-05-22,Q2
37,1148,833.78,2024-09-20,Q3
38,3705,293.9,2024-03-30,Q1
39,6300,329.85,2024-04-23,Q2
40,7009,1143.41,2024-10-06,Q4
41,507,1047.92,2024-07-25,Q3
42,479,507.69,2024-02-29,Q1
43,171612,1414.99,2024-09-30,Q3
44,2481,2420.11,2024-01-30,Q1
45,191851,335.1,2024-10-14,Q4
46,4738,1084.7,2024-02-25,Q1
47,138,467.98,2024-08-30,Q3
48,4273,651.78,2024-04-24,Q2
49,2886,602.64,2024-01-17,Q1
50,6862,1260.08,2024-05-31,Q2
51,1657,779.88,2024-06-20,Q2
52,173437,553.4,2024-07-23,Q3
53,3285,1209.39,2024-09-10,Q3
54,170116,601.12,2024-04-30,Q2
55,3572,1224.57,2024-04-13,Q2
56,105915,1584.8,2024-06-01,Q2
57,1878,914.83,2024-06-09,Q2
58,122106,324.44,2024-12-01,Q4
59,2582,1273.42,2024-06-14,Q2
60,4853,473.7,2024-06-10,Q2
