customer_id,tenure_months,monthly_charges,contract_type,payment_method,num_support_tickets,account_closure_reason,last_contact_before_churn_days,churned
C00001,7,23.39,1-year,auto,3,,,0
C00002,56,88.3,1-year,check,5,service,58.0,1
C00003,48,115.05,monthly,bank,13,other,32.0,1
C00004,32,102.92,monthly,card,1,price,60.0,1
C00005,32,47.72,1-year,card,1,,,0
C00006,62,25.33,1-year,card,4,,,0
C00007,7,114.04,2-year,bank,9,,,0
C00008,51,113.71,2-year,auto,12,,,0
C00009,15,73.24,1-year,card,9,competitor,21.0,1
C00010,7,84.23,1-year,check,7,competitor,33.0,1
C00011,38,66.26,1-year,bank,13,service,14.0,1
C00012,71,61.98,1-year,card,2,,,0
C00013,53,31.94,monthly,check,14,,,0
C00014,55,29.68,1-year,check,5,,,0
C00015,52,43.27,1-year,auto,4,,,0
C00016,57,103.66,1-year,check,15,,,0
C00017,37,34.58,2-year,bank,10,,,0
C00018,10,42.67,1-year,auto,6,,,0
C00019,61,74.86,monthly,card,5,,,0
C00020,33,41.51,monthly,check,7,other,39.0,1
C00021,37,36.32,monthly,auto,12,,,0
C00022,27,76.33,monthly,card,2,competitor,14.0,1
C00023,14,56.81,monthly,auto,2,,,0
C00024,67,82.62,monthly,card,4,,,0
C00025,57,111.22,monthly,bank,7,price,25.0,1
C00026,47,35.1,monthly,bank,13,,,0
C00027,29,111.34,1-year,card,3,service,47.0,1
C00028,60,110.25,1-year,check,12,other,11.0,1
C00029,40,102.91,monthly,bank,14,service,34.0,1
C00030,32,83.13,monthly,check,6,competitor,5.0,1
C00031,33,82.01,monthly,bank,15,other,4.0,1
C00032,17,83.92,monthly,check,14,price,38.0,1
C00033,7,89.05,monthly,auto,12,price,19.0,1
C00034,40,21.65,monthly,check,6,,,0
C00035,64,115.81,monthly,card,4,,,0
C00036,5,78.56,2-year,bank,13,competitor,8.0,1
C00037,62,98.15,1-year,bank,7,,,0
C00038,60,57.73,2-year,card,0,,,0
C00039,20,21.24,monthly,card,11,other,4.0,1
C00040,46,70.97,monthly,card,5,competitor,48.0,1
C00041,12,70.72,2-year,auto,14,service,43.0,1
C00042,55,63.7,monthly,bank,13,,,0
C00043,51,53.97,1-year,auto,1,,,0
C00044,26,44.98,2-year,check,14,,,0
C00045,5,72.75,1-year,check,15,price,41.0,1
C00046,70,57.53,monthly,auto,12,,,0
C00047,33,116.99,1-year,check,4,,,0
C00048,65,37.29,monthly,card,10,,,0
C00049,49,51.97,monthly,bank,13,,,0
C00050,57,49.4,monthly,check,13,,,0
C00051,55,74.33,2-year,card,6,,,0
C00052,15,69.93,1-year,card,11,,,0
C00053,27,84.37,monthly,card,6,service,27.0,1
C00054,34,115.0,monthly,check,4,service,51.0,1
C00055,36,48.52,1-year,bank,10,,,0
C00056,4,89.28,2-year,card,7,,,0
C00057,40,22.5,monthly,check,3,service,54.0,1
C00058,12,46.24,monthly,check,10,,,0
C00059,54,66.37,2-year,check,5,,,0
C00060,50,23.1,2-year,card,9,,,0
C00061,67,81.77,2-year,auto,5,,,0
C00062,54,87.83,monthly,card,14,,,0
C00063,27,94.67,monthly,check,13,price,59.0,1
C00064,70,71.66,monthly,check,7,,,0
C00065,30,80.39,monthly,card,11,competitor,1.0,1
C00066,24,59.61,2-year,bank,2,,,0
C00067,66,24.13,monthly,card,15,,,0
C00068,27,30.0,1-year,bank,3,,,0
C00069,6,85.5,2-year,check,13,,,0
C00070,34,119.56,2-year,bank,13,,,0
C00071,58,21.58,1-year,check,2,,,0
C00072,14,75.76,2-year,auto,0,,,0
C00073,34,95.1,monthly,card,11,price,54.0,1
C00074,10,102.68,monthly,bank,13,service,29.0,1
C00075,50,74.52,monthly,card,11,price,39.0,1
C00076,35,81.99,2-year,check,0,,,0
C00077,24,89.67,2-year,card,10,,,0
C00078,17,105.9,monthly,auto,6,other,13.0,1
C00079,41,32.23,monthly,bank,14,competitor,50.0,1
C00080,49,112.62,monthly,check,12,other,1.0,1
C00081,68,22.6,monthly,card,12,,,0
C00082,32,103.62,2-year,bank,6,competitor,8.0,1
C00083,12,27.67,monthly,card,5,price,39.0,1
C00084,60,39.46,1-year,check,13,,,0
C00085,46,20.39,1-year,card,1,,,0
C00086,51,64.53,monthly,card,1,service,40.0,1
C00087,8,53.44,monthly,check,0,,,0
C00088,23,36.6,2-year,check,8,,,0
C00089,56,65.11,1-year,bank,1,,,0
C00090,60,60.24,monthly,bank,9,,,0
C00091,32,96.77,monthly,bank,2,,,0
C00092,58,109.31,2-year,auto,14,,,0
C00093,61,85.26,2-year,bank,6,,,0
C00094,28,32.44,2-year,auto,1,,,0
C00095,65,49.54,1-year,card,11,,,0
C00096,21,111.33,2-year,card,5,,,0
C00097,18,28.87,monthly,bank,4,,,0
C00098,50,60.69,1-year,card,10,other,53.0,1
C00099,46,114.25,monthly,check,15,service,25.0,1
C00100,11,115.07,1-year,bank,15,service,40.0,1
C00101,60,61.12,2-year,bank,6,,,0
C00102,15,86.74,2-year,check,13,,,0
C00103,58,65.67,1-year,card,3,,,0
C00104,1,95.35,1-year,bank,13,service,59.0,1
C00105,58,23.16,2-year,auto,15,,,0
C00106,57,34.42,2-year,check,8,,,0
C00107,57,81.42,1-year,check,8,,,0
C00108,48,43.26,monthly,check,9,,,0
C00109,34,86.61,monthly,bank,1,price,13.0,1
C00110,51,55.12,2-year,auto,13,,,0
C00111,20,108.66,1-year,auto,11,other,49.0,1
C00112,57,101.93,1-year,bank,13,,,0
C00113,41,69.28,1-year,auto,1,,,0
C00114,34,97.29,monthly,card,12,service,17.0,1
C00115,37,47.11,monthly,bank,5,,,0
C00116,41,69.43,2-year,bank,13,,,0
C00117,3,39.75,monthly,check,15,other,25.0,1
C00118,11,106.09,1-year,check,14,competitor,3.0,1
C00119,18,102.31,1-year,bank,14,,,0
C00120,9,110.21,2-year,bank,1,,,0
C00121,32,107.75,monthly,check,5,service,39.0,1
C00122,49,115.96,1-year,bank,4,,,0
C00123,48,42.83,monthly,bank,8,competitor,5.0,1
C00124,34,113.18,monthly,bank,15,competitor,60.0,1
C00125,62,77.12,monthly,auto,10,price,40.0,1
C00126,41,62.25,monthly,check,8,competitor,4.0,1
C00127,6,76.04,2-year,card,12,,,0
C00128,56,54.26,2-year,auto,2,,,0
C00129,42,48.86,monthly,check,10,service,54.0,1
C00130,46,44.13,2-year,bank,8,,,0
C00131,41,28.24,1-year,check,3,,,0
C00132,40,69.66,1-year,card,10,,,0
C00133,7,108.78,2-year,card,13,,,0
C00134,41,83.02,1-year,bank,13,competitor,25.0,1
C00135,58,72.1,monthly,auto,13,other,39.0,1
C00136,22,62.86,monthly,bank,12,price,12.0,1
C00137,44,66.44,monthly,bank,7,,,0
C00138,3,40.93,2-year,auto,0,,,0
C00139,26,102.29,1-year,auto,15,,,0
C00140,32,39.84,monthly,bank,7,competitor,11.0,1
C00141,71,91.66,monthly,card,10,competitor,25.0,1
C00142,16,96.0,2-year,check,0,,,0
C00143,20,77.49,monthly,check,14,other,39.0,1
C00144,30,106.29,1-year,auto,14,,,0
C00145,72,49.11,1-year,auto,14,,,0
C00146,62,108.16,monthly,check,2,,,0
C00147,3,92.94,monthly,card,13,service,34.0,1
C00148,17,99.87,monthly,card,9,competitor,33.0,1
C00149,60,86.46,monthly,check,2,,,0
C00150,5,104.63,1-year,check,9,,,0
C00151,62,119.31,2-year,bank,7,,,0
C00152,21,62.02,monthly,bank,10,service,37.0,1
C00153,67,101.39,1-year,check,1,,,0
C00154,22,94.46,monthly,bank,9,competitor,23.0,1
C00155,32,65.29,monthly,card,10,competitor,40.0,1
C00156,48,112.69,1-year,auto,11,other,7.0,1
C00157,10,59.44,1-year,bank,12,,,0
C00158,41,76.55,1-year,bank,10,,,0
C00159,37,30.59,monthly,card,11,,,0
C00160,57,42.58,1-year,bank,1,,,0
C00161,72,104.07,monthly,auto,12,,,0
C00162,48,59.66,2-year,card,5,,,0
C00163,30,59.41,1-year,card,8,,,0
C00164,30,44.6,2-year,card,8,,,0
C00165,31,69.16,monthly,card,15,other,29.0,1
C00166,59,100.58,monthly,check,5,,,0
C00167,24,109.52,1-year,bank,6,,,0
C00168,13,27.01,monthly,auto,12,other,47.0,1
C00169,25,77.48,1-year,bank,10,,,0
C00170,2,66.73,1-year,check,5,price,40.0,1
C00171,8,81.43,2-year,card,5,,,0
C00172,7,64.73,monthly,bank,13,service,48.0,1
C00173,56,59.86,2-year,bank,13,,,0
C00174,53,67.19,monthly,card,2,,,0
C00175,51,78.2,monthly,bank,6,other,35.0,1
C00176,34,70.1,1-year,bank,12,,,0
C00177,52,67.21,monthly,bank,1,price,48.0,1
C00178,12,101.78,2-year,check,2,,,0
C00179,65,94.56,2-year,auto,2,,,0
C00180,37,54.14,2-year,auto,8,,,0
C00181,68,100.06,2-year,card,7,,,0
C00182,11,105.37,1-year,check,5,price,31.0,1
C00183,36,35.35,monthly,auto,2,,,0
C00184,51,78.27,2-year,auto,10,,,0
C00185,36,48.53,monthly,bank,12,,,0
C00186,33,93.92,2-year,auto,3,,,0
C00187,12,43.88,monthly,auto,10,competitor,3.0,1
C00188,28,87.14,1-year,bank,12,,,0
C00189,18,45.51,monthly,auto,8,,,0
C00190,22,71.11,monthly,check,9,competitor,45.0,1
C00191,50,114.86,monthly,auto,2,,,0
C00192,46,58.13,monthly,check,15,price,46.0,1
C00193,44,107.57,monthly,auto,15,,,0
C00194,27,118.69,monthly,auto,11,price,37.0,1
C00195,70,107.49,monthly,auto,14,price,13.0,1
C00196,7,36.59,1-year,bank,9,other,26.0,1
C00197,25,101.97,monthly,check,10,competitor,49.0,1
