date,feature_1,feature_2,feature_3,feature_4,feature_5,target
2023-04-01,1.007299,0.347317,-0.30751,-0.932593,-0.099884,0
2022-12-08,-0.649123,0.244759,-0.652388,0.591895,-0.156876,0
2022-05-07,-0.030833,-0.237484,1.281794,-0.045419,0.553802,1
2022-12-12,-0.104787,0.408254,-0.335316,-0.192082,0.391517,0
2022-11-26,0.318359,-1.027705,0.048287,-0.666097,0.332336,0
2023-04-08,-0.244187,1.106427,-0.650917,0.740101,-0.156794,0
2022-02-11,1.336186,1.276112,0.398964,-1.038237,-0.530991,0
2023-01-15,-0.935733,-1.641041,-0.133719,2.128949,-0.254377,1
2023-04-09,0.034706,-0.577661,0.709365,-1.385259,0.060303,0
2022-02-02,0.42789,-0.46111,1.365984,-2.654809,-0.031766,1
2022-07-20,0.391496,-0.580879,1.395155,1.540474,0.900374,1
2023-06-30,0.962356,-0.680044,0.656511,0.235841,0.671013,0
2023-01-20,-0.619317,1.883561,0.03479,0.09237,0.14258,0
2023-02-17,0.601104,-0.384915,-0.579493,-0.064278,-0.858169,0
2022-10-19,-1.253305,0.098151,0.738792,0.491777,-1.22531,1
2023-03-16,0.389807,2.020842,1.570961,-0.843659,2.051296,1
2022-02-12,-0.293779,-0.556414,-0.325127,1.139127,-0.363463,0
2023-12-25,-1.537833,-0.554723,0.310502,0.026238,2.08814,0
2023-05-30,1.760881,-0.784436,-0.72649,-0.746891,-1.760558,0
2023-08-18,0.035371,-0.231106,0.762081,0.516707,0.900625,1
2023-12-23,-0.126244,0.991323,0.288437,1.023335,-0.538764,1
2022-06-13,1.165672,-0.765664,0.054816,-0.175315,-0.435545,1
2022-12-05,1.519525,1.764241,1.834579,-0.011038,0.172405,1
2023-11-23,0.530059,0.912641,-1.514507,1.224585,-1.03481,0
2022-12-27,0.354479,-1.115654,0.09252,0.661838,-0.497481,0
2023-12-25,1.88451,-0.71888,0.78962,0.225851,-0.048904,0
2022-05-24,-0.23613,-0.350033,-0.529342,0.178476,0.109976,0
2023-08-24,1.471673,-2.037687,0.137766,-0.646777,0.046449,0
2023-04-26,0.383169,-1.095156,0.025935,0.97274,-2.78893,1
2023-10-08,-2.427308,-0.570283,0.679158,0.750596,2.505084,1
2022-01-24,-0.190651,-0.348299,-0.033557,0.206291,-0.084544,1
2022-07-15,-1.773415,-1.142864,0.074654,-0.63858,-1.959345,1
2022-12-04,0.388552,0.983654,0.385234,0.401543,-1.310865,1
2022-12-27,0.844201,-0.597287,-0.643812,0.616146,1.313833,0
2023-08-31,-0.774996,0.559702,0.600452,1.150524,0.019557,1
2022-09-01,0.487991,-1.808192,0.64791,-0.303526,1.78652,0
2023-02-12,-0.992533,-0.029647,0.92809,-1.668934,-0.679663,0
2022-01-19,0.341556,-0.357033,-0.277954,0.061836,0.412236,1
2022-10-17,1.700793,-0.376524,-0.948344,-1.437693,-0.421573,0
2023-04-29,0.338962,0.2606,0.951654,0.262766,0.838476,1
2023-02-09,0.987323,1.215588,0.837631,1.664127,0.571815,1
2022-01-03,1.128972,-1.619424,-0.067178,0.789177,-0.298299,1
2023-09-02,0.873574,-0.730372,1.50058,-0.742893,0.234095,1
2022-04-21,-1.997467,0.188676,-1.008003,0.223234,-0.832863,0
2023-11-11,-0.571346,0.617287,-0.415962,0.167127,0.471031,0
2022-01-03,0.650593,0.093661,-0.839697,1.619373,-1.579549,1
2022-12-18,-1.378101,-0.564559,1.545507,1.048011,0.821312,1
2022-09-10,2.063895,0.70356,0.79883,-0.539329,0.18423,1
2022-05-09,-1.1762,0.970178,-0.285602,-0.01723,1.169276,0
2022-06-17,0.369358,0.133503,1.031539,1.282628,-1.176537,1
2022-09-29,0.911228,-0.238484,-0.304184,-1.070291,-1.178319,0
2023-08-27,0.724475,0.151155,-0.471253,-0.480066,-0.1884,0
2022-12-31,-0.677298,0.780404,-0.631953,-0.736054,1.277311,0
2023-08-16,1.320505,-1.046915,0.18997,-1.870304,0.238435,0
2022-08-10,-1.229507,0.65342,-0.028891,1.538165,1.260971,0
2023-08-02,0.593219,-1.533355,-0.486781,2.085685,-0.538789,1
2022-08-10,-0.071999,2.261174,-0.405085,1.910889,0.489632,1
2023-12-05,-2.334396,0.131089,-0.90135,1.407951,-0.545618,1
2022-07-05,-0.487114,-0.297591,-0.112121,2.222678,1.177376,0
2022-07-08,0.469825,1.426974,0.572549,-2.76153,0.825582,0
2022-03-28,0.612965,-0.772158,2.185272,0.102393,-0.293478,1
