property_id,zip_code,school_district,sqft,bedrooms,bathrooms,age_years,garage_spaces,price
P00001,10003,3,1250.5,5,4,73,1,184194.74
P00002,10024,1,1529.3,2,1,80,1,288763.46
P00003,10020,10,1936.0,3,4,49,1,407574.72
P00004,10014,11,1485.8,6,3,73,2,348339.25
P00005,10013,12,1660.8,3,4,43,1,336143.88
P00006,10026,15,2020.7,1,1,2,1,301083.06
P00007,10003,8,1625.6,1,4,70,1,211696.43
P00008,10021,13,1913.0,3,4,42,2,449506.39
P00009,10007,11,2596.4,4,1,3,0,578751.61
P00010,10003,5,1714.1,6,3,5,3,308295.91
P00011,10016,13,2389.7,1,4,58,2,413476.4
P00012,10030,1,2079.7,4,2,74,0,306542.3
P00013,10023,9,1066.4,2,2,56,3,286425.71
P00014,10023,15,1248.9,3,2,35,3,334776.13
P00015,10022,10,1383.2,3,3,24,0,355284.66
P00016,10024,15,1372.6,2,4,33,0,374353.98
P00017,10016,1,1754.9,1,3,26,0,180112.68
P00018,10004,8,2107.3,1,3,22,0,429982.84
P00019,10026,12,2427.6,4,4,10,2,412819.14
P00020,10014,10,1954.1,2,4,46,0,359943.63
P00021,10016,14,1577.2,2,2,17,1,278987.69
P00022,10012,7,800.0,1,4,11,3,210376.22
P00023,10006,11,1835.3,1,2,22,2,388603.49
P00024,10028,7,1812.9,1,3,64,2,329013.9
P00025,10024,14,1891.5,3,2,46,0,443089.07
P00026,10020,2,2853.1,1,4,39,3,506316.13
P00027,10013,4,2420.3,2,3,47,0,469487.79
P00028,10025,2,2192.5,2,3,45,2,448417.7
P00029,10017,11,1319.0,2,2,40,2,285737.12
P00030,10014,4,1543.5,1,3,68,1,296486.47
P00031,10014,5,1752.6,1,4,59,3,248357.12
P00032,10007,13,1412.3,6,2,14,3,424613.89
P00033,10003,6,2050.2,5,4,66,0,394570.47
P00034,10017,3,1978.5,1,2,14,3,332758.41
P00035,10027,1,1255.8,2,1,6,0,137079.86
P00036,10002,4,2398.4,3,3,34,3,436157.16
P00037,10026,14,1851.2,6,3,31,3,408272.68
P00038,10025,9,935.5,6,2,63,2,309412.98
P00039,10009,15,1774.3,5,3,56,3,394678.61
P00040,10019,4,1940.6,1,3,4,3,521364.72
P00041,10005,6,2286.4,3,4,40,2,523799.13
P00042,10023,3,1631.3,3,4,64,0,326898.22
P00043,10022,6,2214.0,4,4,59,1,550413.32
P00044,10011,9,1893.6,6,2,40,3,515484.74
P00045,10003,13,1142.5,2,1,49,0,184348.16
P00046,10030,6,1092.4,4,1,45,3,281813.13
P00047,10014,12,2361.3,2,3,18,0,410054.97
P00048,10027,10,2398.0,2,3,45,2,370845.23
P00049,10021,5,1961.5,2,3,54,2,333546.12
P00050,10024,14,2547.9,5,1,4,0,597972.68
P00051,10023,7,2328.3,3,3,56,1,400704.31
P00052,10006,3,2141.8,5,4,20,0,385832.22
P00053,10011,15,1344.3,5,3,0,1,422136.77
P00054,10015,14,2665.7,3,3,61,3,526333.03
P00055,10015,1,2068.2,6,1,31,0,369283.98
P00056,10002,14,1607.1,1,2,33,3,294218.47
P00057,10017,15,1465.9,6,3,50,2,332263.06
P00058,10005,13,1928.4,1,3,45,2,400592.02
P00059,10023,4,964.5,3,3,50,1,279170.29
P00060,10021,10,2149.8,5,3,76,3,440035.03
P00061,10028,9,1323.2,5,3,52,1,345620.46
P00062,10023,10,1985.3,2,2,3,2,425278.65
P00063,10011,10,1539.2,6,3,18,0,438445.25
P00064,10030,10,1667.8,1,2,36,3,322416.69
P00065,10013,8,1421.5,5,2,38,2,257620.24
P00066,10010,11,1719.4,4,2,29,0,369639.46
P00067,10028,8,2744.7,2,3,14,2,540099.96
P00068,10012,1,2492.5,6,4,8,0,527096.24
P00069,10003,1,1977.2,5,3,11,1,299534.81
P00070,10015,15,1787.4,1,1,77,2,319095.67
P00071,10024,14,2222.1,1,3,32,3,533609.37
P00072,10006,9,2365.0,1,2,77,1,343666.62
P00073,10014,3,1385.1,3,1,27,0,246448.22
P00074,10004,12,1761.3,3,1,25,1,369671.95
P00075,10021,3,889.0,5,4,39,3,276811.47
P00076,10015,6,2361.6,5,2,76,3,455831.67
P00077,10010,5,2832.5,1,1,45,0,413647.39
P00078,10007,1,1840.0,3,1,2,0,343472.93
P00079,10017,13,800.0,5,3,21,3,240570.64
P00080,10021,8,2104.4,6,4,79,2,420039.0
P00081,10029,5,1348.0,2,2,12,2,162109.76
P00082,10014,8,1468.3,1,1,67,0,182329.75
P00083,10005,1,2113.3,1,2,75,1,335611.02
P00084,10025,7,1927.3,3,3,17,3,427258.26
P00085,10019,8,1555.9,3,1,45,0,305242.36
P00086,10022,6,1475.2,3,2,48,0,399356.23
P00087,10003,13,1862.9,1,1,64,1,279059.97
P00088,10010,4,1595.3,3,2,64,2,345479.13
P00089,10024,3,1245.4,2,1,4,3,346997.07
P00090,10025,8,1633.7,3,1,25,2,362906.66
P00091,10014,14,1969.8,1,1,76,1,323297.84
P00092,10025,6,1710.9,5,3,28,1,494623.51
P00093,10026,1,1093.2,3,2,19,0,108554.55
P00094,10012,15,2294.5,2,4,50,1,526308.2
P00095,10027,7,800.0,6,2,15,0,134966.36
P00096,10009,3,1576.8,5,1,11,0,320771.99
P00097,10008,10,1489.9,1,1,64,2,248944.23
P00098,10021,5,1874.1,1,4,9,1,321007.26
P00099,10020,15,2080.8,1,3,72,2,382921.58
P00100,10005,5,2363.4,4,2,20,0,415789.23
P00101,10025,9,1443.8,3,3,8,2,426491.67
P00102,10006,9,2093.3,3,3,60,0,340452.6
P00103,10025,4,1897.9,4,1,14,2,488930.0
P00104,10001,8,944.2,4,3,29,2,275418.29
P00105,10024,2,2750.3,1,1,28,1,486340.32
P00106,10024,10,1080.6,1,1,41,0,277152.07
P00107,10024,12,2009.7,5,3,38,3,477113.51
P00108,10020,15,1995.0,6,2,15,0,438361.14
P00109,10015,5,1937.8,6,1,19,0,364783.42
P00110,10022,5,1552.7,6,1,15,1,372753.08
P00111,10009,9,2213.6,3,3,4,3,449237.75
P00112,10024,11,1019.8,5,3,52,1,364399.87
P00113,10017,15,1767.1,6,1,38,1,352562.42
P00114,10014,1,1518.1,6,2,8,2,274920.39
P00115,10016,4,1461.4,1,2,26,1,243932.84
P00116,10018,4,2014.4,1,4,54,2,513477.57
P00117,10002,4,2338.7,3,4,23,1,443159.76
P00118,10005,7,1628.4,4,2,32,2,311084.31
P00119,10008,14,2190.3,6,3,60,1,461772.1
P00120,10004,1,1824.9,2,4,54,1,330286.74
P00121,10014,13,1353.6,5,2,56,1,326821.0
P00122,10021,10,1671.0,6,1,30,1,384722.97
