date,gross_sales_usd
2025-01-01,13804.88
2025-01-02,11655.85
2025-01-03,14517.23
2025-01-04,14821.06
2025-01-05,10199.86
2025-01-06,11236.82
2025-01-07,13522.21
2025-01-08,12812.5
2025-01-09,13291.05
2025-01-10,11954.61
2025-01-11,14723.31
2025-01-12,14560.92
2025-01-13,13423.42
2025-01-14,15119.4
2025-01-15,14065.05
2025-01-16,11944.62
2025-01-17,13907.22
2025-01-18,11785.46
2025-01-19,14721.79
2025-01-20,13238.11
2025-01-21,13022.46
2025-01-22,12229.67
2025-01-23,15271.7
2025-01-24,13070.94
2025-01-25,12633.37
2025-01-26,12755.14
2025-01-27,14168.61
2025-01-28,13901.93
2025-01-29,13977.51
2025-01-30,14006.41
2025-01-31,16740.57
2025-02-01,12668.39
2025-02-02,12499.26
2025-02-03,12017.37
2025-02-04,14302.32
2025-02-05,15122.16
2025-02-06,13135.79
2025-02-07,11975.2
2025-02-08,12000.26
2025-02-09,14357.64
2025-02-10,14505.73
2025-02-11,14185.94
2025-02-12,12254.31
2025-02-13,13688.93
2025-02-14,13504.38
2025-02-15,13667.39
2025-02-16,14710.57
2025-02-17,13675.24
2025-02-18,14402.9
2025-02-19,13425.9
2025-02-20,13779.95
2025-02-21,14326.79
2025-02-22,10989.15
2025-02-23,12807.02
2025-02-24,12566.17
2025-02-25,12296.88
2025-02-26,12878.18
2025-02-27,15707.03
2025-02-28,11934.17
2025-03-01,14865.35
2025-03-02,10628.42
2025-03-03,12782.7
2025-03-04,13578.0
2025-03-05,14254.77
2025-03-06,14454.54
2025-03-07,14585.78
2025-03-08,12760.58
2025-03-09,12578.99
2025-03-10,14689.07
2025-03-11,13012.17
2025-03-12,11279.16
2025-03-13,11506.74
2025-03-14,11848.48
2025-03-15,14112.43
2025-03-16,13545.52
2025-03-17,14421.4
2025-03-18,12635.08
2025-03-19,13571.27
2025-03-20,14317.68
2025-03-21,12823.52
2025-03-22,14047.89
2025-03-23,12260.04
2025-03-24,12737.68
2025-03-25,12707.82
2025-03-26,11406.77
2025-03-27,14096.15
2025-03-28,12567.72
2025-03-29,13337.87
2025-03-30,14086.2
2025-03-31,14031.52
2025-04-01,16589.66
2025-04-02,15181.42
2025-04-03,14582.61
2025-04-04,15216.02
2025-04-05,12252.29
2025-04-06,12695.15
2025-04-07,12924.51
2025-04-08,13524.5
2025-04-09,16099.99
2025-04-10,13693.68
2025-04-11,14665.82
2025-04-12,17758.19
2025-04-13,14706.19
2025-04-14,16722.64
2025-04-15,13641.81
2025-04-16,14984.25
2025-04-17,13611.57
2025-04-18,14737.96
2025-04-19,16912.14
2025-04-20,12178.57
2025-04-21,16163.87
2025-04-22,15801.27
2025-04-23,14267.64
2025-04-24,12697.09
2025-04-25,15495.96
2025-04-26,14386.84
2025-04-27,15791.94
2025-04-28,15403.27
2025-04-29,18315.96
2025-04-30,14921.72
2025-05-01,13476.11
2025-05-02,15693.49
2025-05-03,15768.56
2025-05-04,17868.73
2025-05-05,16902.56
2025-05-06,16020.9
2025-05-07,18060.67
2025-05-08,13171.43
2025-05-09,14183.57
2025-05-10,13654.79
2025-05-11,14644.35
2025-05-12,12824.99
2025-05-13,16533.92
2025-05-14,14953.31
2025-05-15,12651.47
2025-05-16,13490.71
2025-05-17,15940.97
2025-05-18,16908.12
2025-05-19,19044.08
2025-05-20,20734.86
2025-05-21,16126.97
2025-05-22,13538.72
2025-05-23,11432.43
2025-05-24,15856.53
2025-05-25,13864.28
2025-05-26,14597.25
2025-05-27,14234.55
2025-05-28,15103.43
2025-05-29,17328.18
2025-05-30,15652.52
2025-05-31,15070.53
2025-06-01,13453.7
2025-06-02,12275.61
2025-06-03,14466.45
2025-06-04,15263.84
2025-06-05,18622.27
2025-06-06,15603.16
2025-06-07,17174.72
2025-06-08,14442.51
2025-06-09,13178.47
2025-06-10,13583.74
2025-06-11,14025.99
2025-06-12,19286.95
2025-06-13,13848.71
2025-06-14,16908.79
2025-06-15,13698.39
2025-06-16,17080.4
2025-06-17,16072.67
2025-06-18,15074.22
2025-06-19,15287.84
2025-06-20,14155.85
2025-06-21,16185.35
2025-06-22,14524.2
2025-06-23,13103.51
2025-06-24,13007.03
2025-06-25,15681.16
2025-06-26,18274.13
2025-06-27,15657.94
2025-06-28,15144.27
2025-06-29,15889.92
2025-06-30,17770.68
