student_id,section_id,treatment_group,test_score
1,S01,new_method,70.14
2,S01,new_method,82.67
3,S01,new_method,84.0
4,S01,new_method,63.76
5,S01,new_method,68.3
6,S01,new_method,78.31
7,S01,new_method,75.21
8,S01,new_method,77.3
9,S01,new_method,71.45
10,S01,new_method,83.57
11,S01,new_method,82.86
12,S01,new_method,77.88
13,S01,new_method,85.31
14,S01,new_method,80.69
15,S01,new_method,71.4
16,S01,new_method,80.0
17,S01,new_method,70.71
18,S01,new_method,83.57
19,S01,new_method,77.07
20,S01,new_method,76.12
21,S01,new_method,72.65
22,S01,new_method,85.98
23,S01,new_method,76.34
24,S01,new_method,74.42
25,S01,new_method,74.95
26,S02,new_method,80.89
27,S02,new_method,81.22
28,S02,new_method,81.34
29,S02,new_method,93.32
30,S02,new_method,75.48
31,S02,new_method,74.74
32,S02,new_method,72.63
33,S02,new_method,82.64
34,S02,new_method,86.23
35,S02,new_method,77.53
36,S02,new_method,72.45
37,S02,new_method,72.56
38,S02,new_method,82.88
39,S02,new_method,83.53
40,S02,new_method,82.13
41,S02,new_method,73.67
42,S02,new_method,79.95
43,S02,new_method,79.15
44,S02,new_method,79.86
45,S02,new_method,84.43
46,S02,new_method,79.89
47,S02,new_method,83.08
48,S02,new_method,78.8
49,S02,new_method,80.35
50,S02,new_method,82.75
51,S03,new_method,68.13
52,S03,new_method,67.08
53,S03,new_method,65.9
54,S03,new_method,68.45
55,S03,new_method,80.84
56,S03,new_method,64.31
57,S03,new_method,77.15
58,S03,new_method,58.59
59,S03,new_method,68.03
60,S03,new_method,71.51
61,S03,new_method,74.47
62,S03,new_method,75.35
63,S03,new_method,75.92
64,S03,new_method,67.93
65,S03,new_method,67.13
66,S03,new_method,76.38
67,S03,new_method,69.03
68,S03,new_method,61.44
69,S03,new_method,62.44
70,S03,new_method,63.94
71,S03,new_method,73.85
72,S03,new_method,71.37
73,S03,new_method,75.2
74,S03,new_method,67.38
75,S03,new_method,71.48
76,S04,new_method,76.54
77,S04,new_method,81.9
78,S04,new_method,74.07
79,S04,new_method,76.16
80,S04,new_method,76.03
81,S04,new_method,70.33
82,S04,new_method,82.11
83,S04,new_method,75.42
84,S04,new_method,78.79
85,S04,new_method,82.07
86,S04,new_method,81.83
87,S04,new_method,83.36
88,S04,new_method,78.01
89,S04,new_method,75.74
90,S04,new_method,78.14
91,S04,new_method,66.89
92,S04,new_method,68.57
93,S04,new_method,69.44
94,S04,new_method,71.72
95,S04,new_method,81.5
96,S04,new_method,72.36
97,S04,new_method,76.06
