company_id,founding_year,industry,employees,initial_funding_usd,marketing_spend_pct,revenue_growth_pct
CO00001,2019,retail,45,772417,14.91,25.67
CO00002,2016,services,27,7618870,8.11,40.5
CO00003,2022,healthcare,82,4266831,0.2,46.83
CO00004,2024,healthcare,16,8827346,17.04,54.21
CO00005,2021,manufacturing,61,6832869,24.53,44.49
CO00006,2021,healthcare,171,10078339,2.06,27.79
CO00007,2021,retail,43,44077,22.09,32.45
CO00008,2022,healthcare,73,1615011,19.04,37.63
CO00009,2017,healthcare,59,5058806,14.38,45.27
CO00010,2021,manufacturing,221,7261192,1.45,18.48
CO00011,2019,manufacturing,48,94708,27.71,38.36
CO00012,2022,manufacturing,67,1647486,14.32,37.17
CO00013,2018,tech,32,514219,11.99,51.01
CO00014,2022,healthcare,15,17789526,25.84,45.47
CO00015,2012,services,10,27595,25.37,28.74
CO00016,2021,healthcare,118,94979,21.82,44.1
CO00017,2024,tech,12,11834,24.88,60.22
CO00018,2023,healthcare,70,590799,3.73,34.81
CO00019,2021,retail,50,40942554,22.83,28.23
CO00020,2012,healthcare,83,404868,9.84,53.77
CO00021,2018,healthcare,20,541482,26.02,51.97
CO00022,2021,healthcare,15,1329718,11.11,43.24
CO00023,2024,healthcare,48,350606,1.63,24.87
CO00024,2023,tech,25,919929,12.43,46.82
CO00025,2017,retail,10,969391,22.7,42.99
CO00026,2021,retail,230,81543,15.03,25.91
CO00027,2020,manufacturing,15,366555,22.91,25.79
CO00028,2024,healthcare,12,1951025,1.06,36.97
CO00029,2016,services,26,2833865,5.31,29.52
CO00030,2012,manufacturing,116,5938714,16.91,40.84
CO00031,2021,healthcare,5,865335,11.56,49.14
CO00032,2022,tech,107,901280,20.41,43.18
CO00033,2022,services,13,1983492,28.88,36.97
CO00034,2022,manufacturing,43,134653,19.8,29.58
CO00035,2013,retail,17,124050,12.52,25.71
CO00036,2019,services,243,344691,16.27,25.37
CO00037,2021,healthcare,38,34543,27.38,35.63
CO00038,2021,healthcare,16,998292,20.19,37.94
CO00039,2020,healthcare,25,3606196,24.1,50.47
CO00040,2021,healthcare,36,106928,9.05,34.85
CO00041,2018,manufacturing,40,1056316,22.33,51.18
CO00042,2017,tech,51,125710,4.18,43.89
CO00043,2016,healthcare,33,57921,22.49,33.87
CO00044,2020,manufacturing,8,26993916,26.45,26.15
CO00045,2019,services,24,59607,27.01,43.93
CO00046,2017,tech,61,34247,3.5,33.66
