transaction_id,customer_id,amount,category,transaction_date
Q1T0100000,C02186,7.18,groceries,2023-11-01 12:32:31
Q1T0100001,C00640,141.73,apparel,2023-12-13 06:01:08
Q1T0100002,C00113,18.97,home,2023-12-11 17:47:29
Q1T0100003,C04359,70.55,books,2023-10-07 04:58:35
Q1T0100004,C00924,83.09,apparel,2023-12-24 08:52:54
Q1T0100005,C03089,77.38,electronics,2023-11-08 19:30:06
Q1T0100006,C00451,193.23,electronics,2023-10-04 14:34:31
Q1T0100007,C02808,220.79,home,2023-12-20 08:43:43
Q1T0100008,C03414,52.67,books,2023-11-30 20:13:15
Q1T0100009,C01093,231.5,home,2023-11-22 09:59:10
Q1T0100010,C04239,156.4,home,2023-10-09 15:19:56
Q1T0100011,C03776,50.87,apparel,2023-12-21 14:31:57
Q1T0100012,C00570,162.87,groceries,2023-11-27 10:50:22
Q1T0100013,C00148,134.75,electronics,2023-11-05 09:32:34
Q1T0100014,C01199,195.64,electronics,2023-10-31 14:30:23
Q1T0100015,C04685,237.37,apparel,2023-11-07 15:40:17
Q1T0100016,C02499,118.32,electronics,2023-12-26 08:43:26
Q1T0100017,C04002,134.65,home,2023-10-05 01:35:37
Q1T0100018,C01510,40.51,electronics,2023-11-27 15:54:59
Q1T0100019,C02456,47.45,groceries,2023-11-03 21:17:15
Q1T0100020,C03891,165.7,books,2023-12-24 03:31:41
Q1T0100021,C01227,19.17,electronics,2023-10-08 19:57:31
Q1T0100022,C00864,121.31,apparel,2023-11-23 20:20:08
Q1T0100023,C04754,97.65,apparel,2023-10-23 10:10:27
Q1T0100024,C03532,20.0,apparel,2023-12-03 02:29:24
Q1T0100025,C00970,194.13,apparel,2023-10-23 14:30:22
Q1T0100026,C03367,137.06,home,2023-10-06 00:16:18
Q1T0100027,C03368,114.0,books,2023-10-02 03:37:10
Q1T0100028,C03863,26.98,home,2023-11-21 08:01:17
Q1T0100029,C03650,248.42,apparel,2023-12-22 03:10:45
Q1T0100030,C04047,83.96,home,2023-12-02 04:04:36
Q1T0100031,C04622,135.54,books,2023-10-13 21:33:36
Q1T0100032,C01287,46.2,electronics,2023-11-28 04:56:58
Q1T0100033,C03034,157.15,home,2023-12-23 18:02:23
Q1T0100034,C00421,176.01,home,2023-12-14 00:04:33
Q1T0100035,C02101,68.98,apparel,2023-10-07 16:29:32
Q1T0100036,C04885,42.43,home,2023-12-02 23:19:55
Q1T0100037,C03649,246.48,apparel,2023-12-26 12:59:17
Q1T0100038,C04062,187.47,books,2023-12-16 10:22:58
Q1T0100039,C02710,66.95,electronics,2023-10-11 15:47:34
Q1T0100040,C04951,179.61,books,2023-12-05 01:29:15
Q1T0100041,C04681,54.33,electronics,2023-12-16 23:11:25
Q1T0100042,C02851,229.28,apparel,2023-12-10 05:38:21
Q1T0100043,C00690,201.92,electronics,2023-12-31 14:33:09
Q1T0100044,C01895,46.44,groceries,2023-10-26 00:37:33
Q1T0100045,C01549,9.31,electronics,2023-11-10 19:29:08
Q1T0100046,C03859,95.4,books,2023-11-02 16:27:31
Q1T0100047,C04670,215.58,groceries,2023-12-06 21:46:28
Q1T0100048,C03794,6.59,home,2023-10-28 04:32:50
Q1T0100049,C03520,166.15,books,2023-10-29 20:24:16
Q1T0100050,C04133,208.56,groceries,2023-10-26 21:48:33
Q1T0100051,C04669,81.58,apparel,2023-12-28 02:39:34
Q1T0100052,C00038,198.34,electronics,2023-10-03 01:53:02
Q1T0100053,C01988,26.08,apparel,2023-11-28 09:59:18
Q1T0100054,C04054,88.84,home,2023-12-07 08:49:19
Q1T0100055,C03159,151.16,groceries,2023-10-07 14:16:17
Q1T0100056,C04866,73.41,books,2023-10-27 13:34:29
Q1T0100057,C04669,232.22,books,2023-12-08 11:11:50
Q1T0100058,C01037,190.33,home,2023-12-11 03:28:55
Q1T0100059,C04480,211.27,books,2023-12-11 18:37:06
Q1T0100060,C04819,116.85,groceries,2023-10-07 12:48:22
Q1T0100061,C03674,108.65,electronics,2023-11-14 22:59:17
Q1T0100062,C03130,191.51,home,2023-11-30 16:55:26
Q1T0100063,C03376,25.02,groceries,2023-12-05 14:37:40
Q1T0100064,C04605,173.93,home,2023-11-19 12:49:39
Q1T0100065,C03679,58.28,books,2023-10-05 02:14:21
Q1T0100066,C03946,87.36,home,2023-11-15 13:06:35
Q1T0100067,C01073,30.66,electronics,2023-12-02 04:34:44
Q1T0100068,C02476,122.28,home,2023-11-15 14:57:31
Q1T0100069,C00672,196.19,books,2023-12-11 07:13:18
Q1T0100070,C02889,175.72,books,2023-12-08 03:07:55
Q1T0100071,C04975,154.77,books,2023-10-27 08:55:12
Q1T0100072,C02803,104.2,books,2023-12-17 12:35:55
Q1T0100073,C02901,73.92,books,2023-12-30 07:12:11
Q1T0100074,C03194,249.35,books,2023-12-11 23:20:12
Q1T0100075,C04655,126.62,electronics,2023-10-03 15:44:44
Q1T0100076,C00076,11.51,books,2023-10-26 07:06:46
Q1T0100077,C04313,194.86,books,2023-12-14 02:16:27
Q1T0100078,C03614,182.05,groceries,2023-10-25 07:59:22
Q1T0100079,C01354,157.15,apparel,2023-12-18 19:41:19
Q1T0100080,C02875,219.41,electronics,2023-11-01 23:44:58
Q1T0100081,C01610,20.38,home,2023-10-21 18:23:53
Q1T0100082,C04985,83.76,books,2023-10-22 15:25:55
Q1T0100083,C00413,174.77,apparel,2023-10-27 12:27:19
Q1T0100084,C01646,79.56,books,2023-10-30 01:02:32
Q1T0100085,C03934,152.41,home,2023-11-17 01:11:45
Q1T0100086,C03597,139.76,electronics,2023-12-24 05:22:00
Q1T0100087,C00303,7.23,books,2023-11-05 18:55:33
Q1T0100088,C03030,125.74,books,2023-10-06 00:55:21
Q1T0100089,C03564,93.95,home,2023-11-08 09:40:17
Q1T0100090,C00370,212.53,groceries,2023-11-29 12:47:38
Q1T0100091,C00037,88.94,groceries,2023-12-17 16:16:21
Q1T0100092,C03459,29.76,home,2023-10-29 18:15:50
Q1T0100093,C02713,64.62,apparel,2023-12-26 10:58:37
Q1T0100094,C02816,44.09,home,2023-11-12 20:26:41
Q1T0100095,C03800,245.82,home,2023-10-09 11:48:55
Q1T0100096,C03583,11.22,apparel,2023-10-07 12:07:42
Q1T0100097,C02407,211.9,books,2023-11-06 08:28:01
Q1T0100098,C04809,44.83,groceries,2023-12-30 20:03:33
Q1T0100099,C03177,200.41,electronics,2023-12-26 11:32:00
Q1T0100100,C02235,135.23,home,2023-12-19 00:03:17
Q1T0100101,C03324,31.68,books,2023-12-31 01:32:28
Q1T0100102,C00696,137.87,groceries,2023-12-06 19:50:42
Q1T0100103,C04591,236.27,electronics,2023-10-05 12:41:34
Q1T0100104,C03157,157.01,home,2023-12-23 15:11:09
Q1T0100105,C01211,117.38,electronics,2023-10-20 03:30:29
Q1T0100106,C00045,22.92,apparel,2023-12-22 19:11:05
Q1T0100107,C02626,53.88,home,2023-12-19 15:16:12
Q1T0100108,C01063,97.21,books,2023-10-17 15:12:28
Q1T0100109,C02646,126.92,electronics,2023-12-18 01:51:22
Q1T0100110,C03054,227.18,home,2023-11-15 01:56:27
Q1T0100111,C00034,181.19,electronics,2023-10-16 07:57:24
Q1T0100112,C04528,61.34,home,2023-11-06 01:49:02
Q1T0100113,C03911,73.14,groceries,2023-11-16 15:16:16
Q1T0100114,C00396,61.53,groceries,2023-11-24 08:21:34
Q1T0100115,C02696,220.41,books,2023-10-21 13:42:39
Q1T0100116,C03078,213.77,books,2023-12-06 10:49:25
Q1T0100117,C03531,127.96,groceries,2023-12-23 19:35:54
Q1T0100118,C01875,223.06,groceries,2023-12-17 20:13:29
Q1T0100119,C01590,115.36,apparel,2023-10-06 20:17:44
Q1T0100120,C02354,103.13,electronics,2023-12-24 19:49:30
Q1T0100121,C04330,50.39,apparel,2023-12-01 06:58:15
Q1T0100122,C03595,67.1,home,2023-10-04 23:52:13
Q1T0100123,C00809,31.34,home,2023-11-03 01:54:46
Q1T0100124,C02430,151.01,home,2023-12-08 17:45:21
Q1T0100125,C02504,248.93,apparel,2023-11-15 10:17:39
Q1T0100126,C03327,35.64,electronics,2023-11-11 05:14:25
Q1T0100127,C03511,144.57,groceries,2023-12-22 09:46:08
Q1T0100128,C01207,66.46,apparel,2023-11-02 22:14:24
Q1T0100129,C03755,62.9,home,2023-11-08 13:08:43
Q1T0100130,C01555,236.55,groceries,2023-10-10 19:37:07
Q1T0100131,C02970,152.85,home,2023-10-23 23:47:49
Q1T0100132,C00212,212.59,electronics,2023-11-15 04:12:08
Q1T0100133,C04739,233.62,home,2023-10-25 09:14:01
Q1T0100134,C01303,185.53,books,2023-11-09 10:08:46
Q1T0100135,C00158,193.82,home,2023-11-12 00:21:19
Q1T0100136,C04016,122.83,groceries,2023-11-16 06:56:46
Q1T0100137,C02524,226.06,electronics,2023-10-30 20:00:18
Q1T0100138,C01306,198.93,electronics,2023-11-28 01:50:03
Q1T0100139,C04407,48.72,electronics,2023-12-03 21:34:17
Q1T0100140,C02868,151.08,home,2023-11-03 19:37:24
Q1T0100141,C02206,166.54,books,2023-11-29 20:02:15
Q1T0100142,C02754,156.74,books,2023-10-07 16:49:48
Q1T0100143,C04373,90.37,home,2023-12-10 12:06:12
Q1T0100144,C03945,180.33,groceries,2023-10-22 12:46:58
Q1T0100145,C01966,17.26,books,2023-10-28 22:50:27
Q1T0100146,C03770,166.77,electronics,2023-10-05 21:01:35
Q1T0100147,C02965,44.49,apparel,2023-10-24 06:15:46
Q1T0100148,C01493,21.09,groceries,2023-12-16 20:04:31
Q1T0100149,C00044,40.09,home,2023-11-01 20:10:53
Q1T0100150,C02770,115.51,apparel,2023-12-08 02:32:55
Q1T0100151,C04442,121.25,home,2023-11-07 19:23:17
Q1T0100152,C04836,26.82,home,2023-12-28 19:34:50
Q1T0100153,C01356,72.75,books,2023-10-01 02:35:55
Q1T0100154,C01672,130.89,electronics,2023-12-17 04:43:36
Q1T0100155,C02891,152.15,home,2023-11-15 12:25:37
Q1T0100156,C04642,211.49,books,2023-10-03 20:03:20
Q1T0100157,C03710,123.49,books,2023-12-05 06:17:44
Q1T0100158,C03318,111.56,electronics,2023-10-17 05:30:53
Q1T0100159,C00806,200.68,books,2023-10-20 13:04:56
Q1T0100160,C04440,36.94,home,2023-10-23 12:08:21
Q1T0100161,C01593,38.72,home,2023-12-06 14:08:05
Q1T0100162,C04503,123.66,books,2023-12-09 00:33:37
Q1T0100163,C03016,90.73,home,2023-11-04 18:48:56
Q1T0100164,C02693,143.24,groceries,2023-12-09 14:50:51
Q1T0100165,C00103,197.01,groceries,2023-12-07 02:23:38
Q1T0100166,C00396,39.42,electronics,2023-11-14 08:43:40
Q1T0100167,C03570,122.51,home,2023-11-07 06:06:27
Q1T0100168,C01123,124.85,groceries,2023-11-05 22:26:59
Q1T0100169,C00178,184.15,apparel,2023-11-28 06:48:03
Q1T0100170,C04916,241.91,apparel,2023-11-19 23:23:00
Q1T0100171,C02794,86.9,books,2023-10-11 06:34:49
Q1T0100172,C01291,47.74,groceries,2023-11-20 18:16:10
Q1T0100173,C03625,129.85,electronics,2023-11-01 16:21:20
Q1T0100174,C01488,86.26,groceries,2023-11-07 15:48:51
Q1T0100175,C00658,97.13,home,2023-12-20 15:42:43
Q1T0100176,C01897,27.22,books,2023-11-03 01:52:55
Q1T0100177,C00219,210.15,electronics,2023-10-17 01:13:18
Q1T0100178,C04994,73.21,groceries,2023-11-03 09:42:26
Q1T0100179,C04947,122.54,home,2023-11-06 01:21:27
Q1T0100180,C01224,118.37,home,2023-12-15 05:29:46
Q1T0100181,C03496,52.07,electronics,2023-12-04 02:15:26
Q1T0100182,C03512,153.9,groceries,2023-10-22 19:49:06
Q1T0100183,C02433,22.8,groceries,2023-12-20 09:27:29
Q1T0100184,C00316,143.39,home,2023-12-24 08:50:03
Q1T0100185,C04245,145.24,home,2023-11-23 06:56:33
