transaction_id,customer_id,amount,category,txn_date
Q2T0200000,C00589,79.64,groceries,2024-01-01 00:37:46
Q2T0200001,C02676,169.09,groceries,2024-01-01 02:20:18
Q2T0200002,C01594,11.21,electronics,2024-01-01 02:47:15
Q2T0200003,C03175,134.89,home,2024-01-01 03:05:19
Q2T0200004,C03205,11.9,apparel,2024-01-01 04:09:34
Q2T0200005,C00741,193.9,electronics,2024-01-01 04:37:49
Q2T0200006,C00191,45.47,groceries,2024-01-01 05:01:56
Q2T0200007,C00956,48.87,electronics,2024-01-01 05:47:02
Q2T0200008,C02822,216.07,groceries,2024-01-01 07:07:21
Q2T0200009,C01915,130.48,electronics,2024-01-01 07:26:10
Q2T0200010,C01223,29.1,books,2024-01-01 08:12:34
Q2T0200011,C03026,46.1,home,2024-01-01 08:29:35
Q2T0200012,C04562,210.29,apparel,2024-01-01 08:30:36
Q2T0200013,C01647,221.54,books,2024-01-01 08:38:10
Q2T0200014,C02390,201.6,groceries,2024-01-01 08:51:24
Q2T0200015,C02283,127.23,groceries,2024-01-01 10:38:47
Q2T0200016,C04127,106.34,apparel,2024-01-01 11:17:12
Q2T0200017,C03653,116.3,groceries,2024-01-01 11:48:41
Q2T0200018,C02419,76.68,electronics,2024-01-01 13:21:15
Q2T0200019,C01527,202.01,books,2024-01-01 13:32:43
Q2T0200020,C04456,218.3,apparel,2024-01-01 14:06:59
Q2T0200021,C03164,129.25,apparel,2024-01-01 14:14:17
Q2T0200022,C02260,124.2,books,2024-01-01 14:41:50
Q2T0200023,C00959,205.25,apparel,2024-01-01 15:12:06
Q2T0200024,C03959,114.58,apparel,2024-01-01 16:09:31
Q2T0200025,C00830,205.02,groceries,2024-01-01 16:28:56
Q2T0200026,C04612,177.25,electronics,2024-01-01 16:30:12
Q2T0200027,C01475,219.2,apparel,2024-01-01 17:28:49
Q2T0200028,C03307,169.54,electronics,2024-01-01 19:02:36
Q2T0200029,C02186,82.73,groceries,2024-01-01 20:20:19
Q2T0200030,C02672,49.66,groceries,2024-01-01 21:59:58
Q2T0200031,C00148,85.81,home,2024-01-01 22:28:59
Q2T0200032,C00543,163.26,home,2024-01-02 00:36:39
Q2T0200033,C00006,95.63,books,2024-01-02 01:07:49
Q2T0200034,C00135,63.87,apparel,2024-01-02 02:35:50
Q2T0200035,C03016,141.63,electronics,2024-01-02 02:43:47
Q2T0200036,C04173,39.12,groceries,2024-01-02 02:48:10
Q2T0200037,C02583,245.56,groceries,2024-01-02 02:53:46
Q2T0200038,C01374,139.16,home,2024-01-02 02:57:43
Q2T0200039,C00741,239.03,books,2024-01-02 03:29:02
Q2T0200040,C01237,113.77,groceries,2024-01-02 04:25:42
Q2T0200041,C02322,150.49,electronics,2024-01-02 05:48:51
