transaction_id,customer_id,amount,category,date,discount_code
Q2T0200777,C01486,$49.83,home,2024-04-28 01:46:14,FLASH20
Q2T0201090,C02377,$213.01,home,2024-05-22 13:34:37,WELCOME5
Q2T0200696,C04761,$207.20,groceries,2024-06-12 21:32:01,WELCOME5
Q2T0200954,C00112,$115.53,electronics,2024-05-29 18:10:57,WELCOME5
Q2T0200693,C01209,$45.06,apparel,2024-06-06 14:31:34,FLASH20
Q2T0200174,C01278,$24.65,groceries,2024-04-22 20:06:00,SUMMER10
Q2T0202981,C00867,$126.96,electronics,2024-06-07 19:58:13,
Q2T0200509,C03352,$204.91,books,2024-04-06 10:03:02,
Q2T0202368,C01383,$91.39,books,2024-05-28 07:48:44,SUMMER10
Q2T0201409,C00559,$27.23,home,2024-04-03 20:14:27,FLASH20
Q2T0202736,C01693,$174.01,books,2024-06-19 10:02:50,FLASH20
Q2T0201573,C03694,$183.43,electronics,2024-04-27 17:38:38,VIP15
Q2T0201432,C04121,$135.41,electronics,2024-05-11 16:47:45,VIP15
Q2T0202201,C01817,$230.94,books,2024-06-06 16:57:31,VIP15
Q2T0200650,C01460,$113.85,groceries,2024-05-05 00:32:39,SUMMER10
Q2T0202362,C00217,$109.52,books,2024-05-07 01:06:34,FLASH20
Q2T0202526,C00871,$107.67,home,2024-04-22 04:08:44,
Q2T0201713,C01518,$99.60,books,2024-06-09 11:30:06,FLASH20
Q2T0202806,C03700,$118.36,apparel,2024-04-24 09:08:01,FLASH20
Q2T0202316,C04987,$247.46,apparel,2024-04-25 16:53:27,VIP15
Q2T0201314,C04543,$240.43,books,2024-05-27 15:35:34,FLASH20
Q2T0201380,C01424,$185.25,apparel,2024-06-22 22:49:53,VIP15
Q2T0201441,C01936,$90.69,books,2024-04-25 00:14:36,VIP15
Q2T0202025,C00624,$196.24,books,2024-04-10 10:18:04,FLASH20
Q2T0200950,C04829,$93.89,electronics,2024-06-09 13:50:16,
Q2T0202581,C01042,$213.93,books,2024-06-08 10:25:23,VIP15
Q2T0201292,C04873,$107.24,groceries,2024-05-13 05:05:22,WELCOME5
Q2T0202033,C04295,$148.63,apparel,2024-06-02 06:38:49,WELCOME5
Q2T0201376,C03115,$62.37,groceries,2024-05-31 05:26:12,
Q2T0200130,C00492,$227.25,apparel,2024-04-27 01:26:39,SUMMER10
Q2T0201281,C04781,$142.02,electronics,2024-05-07 13:17:51,WELCOME5
Q2T0200270,C00380,$36.18,groceries,2024-05-06 10:42:55,WELCOME5
Q2T0202948,C03340,$158.42,electronics,2024-05-01 07:28:04,
Q2T0201654,C03620,$120.37,apparel,2024-04-10 10:30:27,
Q2T0202499,C04511,$226.45,home,2024-06-03 11:26:48,FLASH20
Q2T0201854,C04357,$65.86,books,2024-04-18 08:03:01,FLASH20
Q2T0202477,C01328,$205.32,home,2024-05-05 10:31:41,SUMMER10
Q2T0201467,C01233,$195.25,groceries,2024-06-10 17:59:16,FLASH20
Q2T0200044,C04982,$174.32,groceries,2024-06-07 16:03:54,VIP15
Q2T0201540,C01207,$151.60,groceries,2024-05-21 11:03:00,SUMMER10
Q2T0200313,C03750,$198.39,apparel,2024-06-03 13:06:21,SUMMER10
Q2T0201915,C03642,$108.05,groceries,2024-04-14 16:34:56,VIP15
Q2T0200796,C04368,$149.65,home,2024-04-16 06:19:57,FLASH20
Q2T0200705,C00215,$199.36,books,2024-04-25 15:20:30,WELCOME5
Q2T0201761,C03344,$232.28,home,2024-05-20 02:54:01,FLASH20
Q2T0200791,C04910,$213.34,groceries,2024-04-01 11:39:43,SUMMER10
Q2T0201913,C03892,$240.91,apparel,2024-05-27 12:51:47,
Q3T0300047,C00666,$177.86,apparel,2024-04-27 23:30:29,
Q3T0300048,C00573,$46.91,home,2024-06-21 12:44:28,WELCOME5
Q3T0300049,C01607,$173.10,apparel,2024-06-14 20:41:45,WELCOME5
Q3T0300050,C03013,$240.53,books,2024-05-02 19:46:45,
Q3T0300051,C04309,$71.38,apparel,2024-04-11 02:22:22,VIP15
Q3T0300052,C01352,$133.86,electronics,2024-05-28 08:35:22,WELCOME5
Q3T0300053,C01186,$59.31,electronics,2024-05-16 08:51:17,
Q3T0300054,C02195,$230.40,books,2024-06-09 11:51:48,SUMMER10
Q3T0300055,C00609,$160.29,books,2024-06-22 01:56:03,VIP15
Q3T0300056,C00578,$161.01,apparel,2024-04-29 10:54:59,VIP15
Q3T0300057,C01545,$147.75,apparel,2024-05-20 06:56:32,VIP15
Q3T0300058,C04911,$144.24,books,2024-06-10 14:12:10,WELCOME5
Q3T0300059,C00823,$111.39,books,2024-06-21 09:31:58,VIP15
